ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Context Fingerprint
EN-001,ollama,qwen3-custom:latest,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | probation | week 12,The probation period for new employees is 3 months. A formal performance evaluation is conducted in week 12 of the probation period.,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,,evaluation_snapshot,How long is the probation period for new employees?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.5161,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,10424.23,0.0,,,SKIPPED,0.8738,23969,23979.42,95629baec5840f82
EN-002,ollama,qwen3-custom:latest,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",P1 | 4 hours | 15 minutes,"P1 IT incidents must be acknowledged within 15 minutes and resolved within 4 hours. If a P1 incident is not resolved within 2 hours, it is escalated to the Head of Infrastructure.",SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,,evaluation_snapshot,How quickly must a P1 IT incident be resolved?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.359,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9537.25,0.0,,,SKIPPED,0.8981,19054,19062.47,b159d66595047529
EN-003,ollama,qwen3-custom:latest,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations | above IDR 50 million,Purchases above IDR 50 million require Director approval and three vendor quotations.,SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,,evaluation_snapshot,What approval is needed for a purchase above IDR 50 million?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.5556,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,10520.07,0.0,,,SKIPPED,0.8493,5734,5743.92,e0ec791959012594
EN-004,ollama,qwen3-custom:latest,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense claim deadline,The deadline to submit an expense claim is within 30 days of the expense date. Claims older than 30 days require Finance Manager approval.,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,,evaluation_snapshot,What is the deadline to submit an expense claim?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.4516,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,10616.2,0.0,,,SKIPPED,0.8783,18050,18078.94,ed024e7a52c26e22
EN-005,ollama,qwen3-custom:latest,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | annual leave | HR portal,Annual leave must be requested at least 5 working days in advance.,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,,evaluation_snapshot,How much advance notice is required for annual leave?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.4762,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,10705.4,0.0,,,SKIPPED,0.8708,15773,15784.51,b08d979f0542f7ff
EN-006,ollama,qwen3-custom:latest,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",01:00 WIB | 6 hours,"Full database backups are taken nightly at 01:00 WIB. Additionally, full backups are run every 6 hours.",SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,,evaluation_snapshot,How often are full database backups taken?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.5926,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,10032.84,0.0,,,SKIPPED,0.7279,4953,4960.68,35143101c1f89b7d
EN-007,ollama,qwen3-custom:latest,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | access,IT must revoke a departing employee's access within 2 hours of the employee's exit time. The exact deadline is specified as 2 hours after the employee's last working day.,SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,,evaluation_snapshot,When must IT revoke a departing employee's access?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.439,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,11038.51,0.0,,,SKIPPED,0.8829,9011,9019.12,4ced6a62b184a52d
EN-008,ollama,qwen3-custom:latest,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | manager approval,Employees may work from home a maximum of 2 days per week. This limit applies with manager approval.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,,evaluation_snapshot,How many days per week can employees work from home?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.5185,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,10629.2,0.0,,,SKIPPED,0.9105,4245,4252.74,5941b628881a5b2b
EN-009,ollama,qwen3-custom:latest,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour | data breach,A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,,evaluation_snapshot,Who must a suspected data breach be reported to and how fast?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.6364,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,10354.99,0.0,,,SKIPPED,0.9082,20798,20806.79,e4ea2ff93a3a6c48
EN-010,ollama,qwen3-custom:latest,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | annual leave | accruing monthly,Employees are entitled to 12 days of annual leave per year. This leave accrues monthly.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,,evaluation_snapshot,How many annual leave days do employees get?,rag-bilingual-eval-v12-20260730,0,,0,0,0,0,0.0,0.4762,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9938.75,0.0,,,SKIPPED,0.9032,4156,4168.76,aad3a402e867bc3c
