id,split,category,language,difficulty,question_type,question,expected_answer,used_query,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,top_answerability_score,top_answerability_reason,top_answerability_score_margin,top_answerability_supporting_candidates,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
QA-001,all,sop,en,unspecified,factual,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",How long is the probation period for new employees?,True,sop_onboarding.pdf,,1,,1.0,,,,39199.183,5,0.87625,0.78,1.0,1.0,True,,,0.86879,Top-k evidence collectively satisfies the question without contradictions.,0.283591,5,1:SOP_Onboarding.pdf#p1[0.87625] | 2:FAQ_Onboarding.txt#p-[0.592659] | 3:Report_Hiring_H1_2025.pdf#p1[0.493625] | 4:SOP_Offboarding.pdf#p1[0.464456] | 5:Policy_Leave.docx#p1[0.463092],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-002,all,sop,en,unspecified,factual,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",How quickly must a P1 IT incident be resolved?,True,sop_it_incident_handling.pdf,,1,,1.0,,,,1321.717,5,0.871614,0.828818,1.0,0.85,True,,,0.870151,Top-k evidence collectively satisfies the question without contradictions.,0.428121,5,1:SOP_IT_Incident_Handling.pdf#p1[0.871614] | 2:Report_Incident_Postmortem.pdf#p1[0.443493] | 3:SOP_Customer_Complaint.pdf#p1[0.42785] | 4:Policy_Data_Security.docx#p1[0.404751] | 5:SOP_Onboarding.pdf#p1[0.314709],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-003,all,sop,en,unspecified,factual,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,What approval is needed for a purchase above IDR 50 million?,True,sop_procurement.pdf,,1,,1.0,,,,937.378,5,0.802051,0.673276,1.0,0.943333,True,,,0.846191,Top-k evidence collectively satisfies the question without contradictions.,0.100419,4,1:SOP_Procurement.pdf#p1[0.802051] | 2:Policy_Procurement_Threshold.docx#p1[0.701632] | 3:SOP_Expense_Reimbursement.pdf#p1[0.548342] | 4:Policy_Procurement_Threshold.docx#p1[0.546336] | 5:Report_Financial_FY2025.pdf#p1[0.423959],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-004,all,sop,en,unspecified,factual,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,What is the deadline to submit an expense claim?,True,sop_expense_reimbursement.pdf,,1,,1.0,,,,998.464,5,0.846963,0.746822,1.0,0.9575,True,,,0.817719,Top-k evidence collectively satisfies the question without contradictions.,0.258966,2,1:SOP_Expense_Reimbursement.pdf#p1[0.846963] | 2:Policy_Travel_Expense.docx#p1[0.587997] | 3:SOP_Procurement.pdf#p1[0.321374] | 4:Policy_Procurement_Threshold.docx#p1[0.311571] | 5:SOP_Customer_Complaint.pdf#p1[0.278954],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-005,all,sop,en,unspecified,factual,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,How much advance notice is required for annual leave?,True,sop_leave_request.pdf,,1,,1.0,,,,1206.774,5,0.862724,0.771066,1.0,0.966,True,,,0.825444,Top-k evidence collectively satisfies the question without contradictions.,0.141595,2,1:SOP_Leave_Request.pdf#p1[0.862724] | 2:Policy_Leave.docx#p1[0.721129] | 3:Policy_Leave.docx#p1[0.512221] | 4:Policy_Leave.docx#p1[0.462515] | 5:Policy_Leave.docx#p1[0.403189],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-006,all,sop,en,unspecified,factual,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",How often are full database backups taken?,True,sop_data_backup.pdf,,1,,1.0,,,,929.74,5,0.844131,0.792174,1.0,0.76,True,,,0.838946,Top-k evidence collectively satisfies the question without contradictions.,0.529394,4,1:SOP_Data_Backup.pdf#p1[0.844131] | 2:TECH_Database_Schema.txt#p-[0.314737] | 3:Policy_Data_Security.docx#p1[0.313049] | 4:TECH_Data_Retention.txt#p-[0.278936] | 5:Report_Financial_FY2025.pdf#p1[0.277068],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-007,all,sop,en,unspecified,factual,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,When must IT revoke a departing employee's access?,True,sop_offboarding.pdf,,1,,1.0,,,,1271.654,5,0.875788,0.794289,1.0,0.966,True,,,0.861706,Top-k evidence collectively satisfies the question without contradictions.,0.470569,3,1:SOP_Offboarding.pdf#p1[0.875788] | 2:TECH_Data_Retention.txt#p-[0.405219] | 3:SOP_Onboarding.pdf#p1[0.375317] | 4:Report_IT_Audit_2025.pdf#p1[0.332776] | 5:SOP_Leave_Request.pdf#p1[0.323944],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-008,all,policy,en,unspecified,factual,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,How many days per week can employees work from home?,True,policy_wfh.docx,,1,,1.0,,,,1177.087,5,0.869256,0.805661,1.0,0.914286,True,,,0.875583,Top-k evidence collectively satisfies the question without contradictions.,0.058989,5,1:Policy_WFH.docx#p1[0.869256] | 2:FAQ_Remote_Work.txt#p-[0.810267] | 3:Policy_WFH.docx#p1[0.511636] | 4:Policy_Leave.docx#p1[0.511541] | 5:Policy_Leave.docx#p1[0.376395],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-009,all,policy,en,unspecified,factual,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,Who must a suspected data breach be reported to and how fast?,True,policy_data_security.docx,,1,,1.0,,,,1205.18,5,0.918618,0.883654,1.0,0.93625,True,,,0.797329,Top-k evidence collectively satisfies the question without contradictions.,0.488307,1,1:Policy_Data_Security.docx#p1[0.918618] | 2:Policy_Data_Security.docx#p1[0.430311] | 3:Report_Security_Review_2025.pdf#p1[0.360094] | 4:Policy_Anti_Harassment.docx#p1[0.34126] | 5:SOP_IT_Incident_Handling.pdf#p1[0.335208],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-010,all,policy,en,unspecified,factual,How many annual leave days do employees get?,"12 days per year, accruing monthly.",How many annual leave days do employees get?,True,policy_leave.docx,,1,,1.0,,,,1090.998,5,0.884763,0.814023,1.0,0.9575,True,,,0.848908,Top-k evidence collectively satisfies the question without contradictions.,0.211975,2,1:Policy_Leave.docx#p1[0.884763] | 2:SOP_Leave_Request.pdf#p1[0.672788] | 3:Policy_Leave.docx#p1[0.555523] | 4:Policy_WFH.docx#p1[0.486202] | 5:Policy_Leave.docx#p1[0.454749],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
