ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Failure Reason,Rejected Native Answer,Citation Validation,Generation Mode,Pipeline Error,Context Count Before Failure,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Question Keyword Coverage,Question+Answer Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Estimated Sequential E2E (ms),Context Fingerprint
EN-001,ollama,qwen3-custom:latest,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | performance evaluation | week 12,The probation period for new employees is 3 months. A formal performance evaluation is conducted in week 12 before confirmation.,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How long is the probation period for new employees?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.5517,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5561.61,0.0,,,SKIPPED,0.8572,16536,16571.77,22133.38,95629baec5840f82
EN-002,ollama,qwen3-custom:latest,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",4 hours | 15 minutes,"P1 IT incidents must be acknowledged within 15 minutes and resolved within 4 hours. If a P1 incident is not resolved within 2 hours, it is escalated to the Head of Infrastructure.",SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How quickly must a P1 IT incident be resolved?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.359,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6572.47,0.0,,,SKIPPED,0.8868,5117,5129.01,11701.48,b159d66595047529
EN-003,ollama,qwen3-custom:latest,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations,Purchases above IDR 50 million require Director approval and three vendor quotations.,SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What approval is needed for a purchase above IDR 50 million?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.5556,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,7334.99,0.0,,,SKIPPED,0.8292,2797,2805.34,10140.33,e0ec791959012594
EN-004,ollama,qwen3-custom:latest,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense date,The deadline to submit an expense claim is within 30 days of the expense date. Claims older than 30 days require Finance Manager approval.,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What is the deadline to submit an expense claim?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6826.98,0.0,,,SKIPPED,0.8632,4261,4269.36,11096.34,ed024e7a52c26e22
EN-005,ollama,qwen3-custom:latest,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | HR portal,Annual leave must be requested at least 5 working days in advance.,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How much advance notice is required for annual leave?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.4762,0.5,0.0,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,8026.58,0.0,,,SKIPPED,0.8526,2460,2468.43,10495.01,b08d979f0542f7ff
EN-006,ollama,qwen3-custom:latest,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",01:00 WIB | 6 hours,"Full database backups are taken nightly at 01:00 WIB. Additionally, full backups are run every 6 hours.",SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How often are full database backups taken?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.5926,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6342.58,0.0,,,SKIPPED,0.7279,3722,3730.38,10072.96,35143101c1f89b7d
EN-007,ollama,qwen3-custom:latest,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | exit time,IT must revoke a departing employee's access within 2 hours of the employee's exit time. The exact time is determined by the employee's last working day.,SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,When must IT revoke a departing employee's access?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.4737,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,7738.76,0.0,,,SKIPPED,0.8669,4329,4338.18,12076.94,4ced6a62b184a52d
EN-008,ollama,qwen3-custom:latest,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | manager approval,Employees may work from home a maximum of 2 days per week. This limit applies with manager approval.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many days per week can employees work from home?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.5185,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,7809.13,0.0,,,SKIPPED,0.9012,2947,2955.46,10764.59,5941b628881a5b2b
EN-009,ollama,qwen3-custom:latest,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour,A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour. The reporting deadline is explicitly set at 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,,,,{},native_model,,1,evaluation_snapshot,Who must a suspected data breach be reported to and how fast?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6749.12,0.0,,,SKIPPED,0.9049,4010,4016.72,10765.84,e4ea2ff93a3a6c48
EN-010,ollama,qwen3-custom:latest,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | per year | accruing monthly,Employees are entitled to 12 days of annual leave per year.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many annual leave days do employees get?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.4706,0.6667,0.0,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,7530.89,0.0,,,SKIPPED,0.8928,2377,2385.56,9916.45,aad3a402e867bc3c
