ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Failure Reason,Rejected Native Answer,Citation Validation,Grounding Validation,Grounding Repaired,Generation Mode,Pipeline Error,Context Count Before Failure,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Question Keyword Coverage,Question+Answer Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,Judge Model,System Confidence,Backend Response Time (ms),Client Response Time (ms),Estimated Sequential E2E (ms),Context Fingerprint
EN-001,ollama,qwen3-custom:eval-20260803,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | performance evaluation | week 12,The probation period for new employees is 3 months. A formal performance evaluation is conducted in week 12 before confirmation.,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How long is the probation period for new employees?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.5517,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4318.5,0.0,0,Answer directly matches retrieved context details about probation duration and evaluation timing.,,qwen3:8b,0.8572,15678,15699.77,20018.27,95629baec5840f82
EN-002,ollama,qwen3-custom:eval-20260803,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",4 hours | 15 minutes,"P1 IT incidents must be acknowledged within 15 minutes and resolved within 4 hours. If a P1 incident is not resolved within 2 hours, it is escalated to the Head of Infrastructure.",SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How quickly must a P1 IT incident be resolved?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.359,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4039.07,0.0,0,Answer matches context's 15-minute acknowledgment and 4-hour resolution targets for P1 incidents.,,qwen3:8b,0.8868,5392,5428.88,9467.95,b159d66595047529
EN-003,ollama,qwen3-custom:eval-20260803,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations,Purchases above IDR 50 million require Director approval and three vendor quotations.,SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,What approval is needed for a purchase above IDR 50 million?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.5556,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4401.92,0.0,0,Answer matches context's requirement for Director approval and three quotations for purchases over IDR 50 million.,,qwen3:8b,0.8292,3409,3438.85,7840.77,e0ec791959012594
EN-004,ollama,qwen3-custom:eval-20260803,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense date,The deadline to submit an expense claim is within 30 days of the expense date. Claims older than 30 days require Finance Manager approval.,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,What is the deadline to submit an expense claim?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4157.53,0.0,0,Answer matches context: 30-day deadline with Finance Manager approval for older claims.,,qwen3:8b,0.8632,4437,4455.92,8613.45,ed024e7a52c26e22
EN-005,ollama,qwen3-custom:eval-20260803,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | HR portal,Annual leave must be requested at least 5 working days in advance.,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How much advance notice is required for annual leave?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.4762,0.5,0.0,0.5,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4342.58,0.0,0,Answer matches context for 5 days but omits HR portal requirement.,,qwen3:8b,0.8526,2742,2749.4,7091.98,b08d979f0542f7ff
EN-006,ollama,qwen3-custom:eval-20260803,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",01:00 WIB | 6 hours,Full database backups are taken nightly at 01:00 WIB.,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,,,,{},"{""checked_claims"": 1, ""missing_answer_requirements"": [], ""missing_evidence_requirements"": [], ""reasons"": [], ""score"": 0.666667, ""support_score"": 0.666667, ""supported"": true, ""unsupported_claims"": [], ""unsupported_facts"": []}",1,grounding_pruned,,1,evaluation_snapshot,How often are full database backups taken?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.5263,0.5,0.0,0.5,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,3978.34,0.0,0,Answer correctly states full backup schedule from context without adding unsupported details.,,qwen3:8b,0.7279,4338,4348.08,8326.42,35143101c1f89b7d
EN-007,ollama,qwen3-custom:eval-20260803,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | exit time,IT must revoke a departing employee's access within 2 hours of the employee's exit time. The exact time is determined by the employee's last working day.,SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,When must IT revoke a departing employee's access?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.4737,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4232.48,0.0,0,The answer directly quotes the context's exact requirement of revoking access within 2 hours of exit time.,,qwen3:8b,0.8669,4691,4715.76,8948.24,4ced6a62b184a52d
EN-008,ollama,qwen3-custom:eval-20260803,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | manager approval,Employees may work from home a maximum of 2 days per week. This limit applies with manager approval.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How many days per week can employees work from home?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.5185,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,3992.86,0.0,0,The answer directly quotes the context's exact policy of 2 days per week with manager approval.,,qwen3:8b,0.9012,3337,3356.11,7348.97,5941b628881a5b2b
EN-009,ollama,qwen3-custom:eval-20260803,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour,A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour. The reporting deadline is explicitly set at 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,Who must a suspected data breach be reported to and how fast?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,3786.35,0.0,0,The answer directly matches the context's explicit requirement for reporting suspected breaches.,,qwen3:8b,0.9049,4270,4286.92,8073.27,e4ea2ff93a3a6c48
EN-010,ollama,qwen3-custom:eval-20260803,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | per year | accruing monthly,Employees are entitled to 12 days of annual leave per year.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How many annual leave days do employees get?,rag-grounding-guard-v21-20260804,0,,0,0,0,0,0.0,0.4706,0.6667,0.0,0.6667,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4443.47,0.0,0,"Answer correctly states 12 days per year from context, no unsupported claims.",,qwen3:8b,0.8928,2597,2630.69,7074.16,aad3a402e867bc3c
