ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Context Fingerprint
EN-001,gemini,gemini-2.0-flash,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | probation | week 12,Probation New employees serve a probation period of 3 months. A formal performance evaluation is conducted in week 12 before confirmation.,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,0,0,0,0,0.0,0.5333,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer correctly states 3-month probation with week 12 evaluation as per context.,,0.9687,14962,17148.16,4a68231bee9ff414
EN-002,gemini,gemini-2.0-flash,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",P1 | 4 hours | 15 minutes,Response Targets P1 incidents must be acknowledged within 15 minutes and resolved within 4 hours.,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,0,0,0,0,0.0,0.6364,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,"The answer directly quotes the context, providing accurate resolution times for P1 incidents.",,0.9332,6220,8314.33,aeee7daf65d172cc
EN-003,gemini,gemini-2.0-flash,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations | above IDR 50 million,"Purchases above IDR 50,000,000 require Director approval and three vendor quotations. Vendor Onboarding New vendors must submit a tax ID (NPWP) and bank details before the first purchase order is issued.",SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,0,0,0,0,0.0,0.2703,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer correctly states required approvals and includes relevant context details without inventing facts.,,0.8752,6405,8509.97,41b21480b74b9d57
EN-004,gemini,gemini-2.0-flash,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense claim deadline,Nusantara Dynamics SOP - Expense Reimbursement Submission Window Expense claims must be submitted within 30 days of the expense date.,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,0,0,0,0,0.0,0.5385,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly quotes context with correct deadline.,,0.9,5982,8078.84,b5077fab7bad20e8
EN-005,gemini,gemini-2.0-flash,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | annual leave | HR portal,Nusantara Dynamics SOP - Leave Request Notice Annual leave must be requested at least 5 working days in advance through the HR portal. Approval Leave is approved by the direct manager.,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,0,0,0,0,0.0,0.4103,1.0,3.0,5.0,1.0,1.0,1.0,0.0,1,"System answer includes unsupported company name and formatting, but correctly states 5 working days via HR portal.",,0.9217,5808,7858.08,e30738ab7b279fd1
EN-006,gemini,gemini-2.0-flash,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",nightly 01:00 WIB | full backup | 6 hours incremental,Full backups run nightly at 01:00 WIB. Retention Daily backups are retained for 30 days; monthly backups for 12 months.,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,0,0,0,0,0.0,0.3333,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,"Answer correctly states full backup schedule from context, no unsupported claims added.",,0.8541,5918,8013.27,b4af66da2d183397
EN-007,gemini,gemini-2.0-flash,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | offboarding | access revocation,"Nusantara Dynamics SOP - Employee Offboarding Asset Return Departing employees must return all company assets (laptop, access card, phone) on their last working day. Access Revocation IT revokes all system access within 2 hours of the employee's exit time.",SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,0,0,0,0,0.0,0.375,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no added or fabricated information.,,0.9685,6410,8529.74,1a92383f091b9b56
EN-008,gemini,gemini-2.0-flash,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | WFH | manager approval,"Limit Employees may work from home a maximum of 2 days per week, with manager approval.",Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,0,0,0,0,0.0,0.56,0.6667,1.0,1.0,1.0,1.0,1.0,0.0,0,"The answer directly quotes the context's key fact about 2 days per week with manager approval, aligning with the expected behavior.",,0.9387,5845,7938.21,4fb1d945439107fe
EN-009,gemini,gemini-2.0-flash,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour | data breach,Reporting Suspected data breaches must be reported to security@nusantaradynamics.co.id within 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,0,0,0,0,0.0,0.6364,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches retrieved context exactly with no added or removed information.,,0.9296,5539,7624.0,a750123b6a9ed054
EN-010,gemini,gemini-2.0-flash,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | annual leave | accruing monthly,"Annual Leave Employees are entitled to 12 days of annual leave per year, accruing monthly.",Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,0,0,0,0,0.0,0.5714,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,"The answer directly matches the context's exact statement about 12 days per year, accruing monthly.",,0.9299,6029,8115.93,bec48fadd6d4b7df
EN-011,gemini,gemini-2.0-flash,EN,True,What are the password requirements?,"At least 12 characters with upper, lower, number, and symbol; changed every 90 days.",12 characters | upper lower number symbol | 90 days,Password Policy.,Policy_Password.docx,Policy_Password.docx,Policy_Password.docx,0,,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,Answer lacks specific requirements details from context,,0.8567,5769,7857.43,50037f72d4ae85ff
EN-012,gemini,gemini-2.0-flash,EN,True,What is the domestic meal per diem?,"IDR 250,000 per day.","IDR 250,000 | per day | meal per diem","Per Diem The domestic meal per diem is IDR 250,000 per day.",Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,0,,0,0,0,0,0.0,0.5,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer is directly supported by the retrieved context.,,0.9,6571,8654.48,8480466a11e63a62
EN-013,gemini,gemini-2.0-flash,EN,True,What was Q3 2025 revenue?,"IDR 42.5 billion, up 12% over Q2 2025.",IDR 42.5 billion | 12% | Q3 2025,"Nusantara Dynamics Quarterly Performance Report - Q3 2025 Revenue Q3 2025 revenue was IDR 42.5 billion, a 12% increase over Q2 2025. Customers The company added 18 new enterprise customers in Q3 2025, bringing the total to 214.",Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,0,0,0,0,0.0,0.3111,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer directly quotes the context's exact revenue figure and growth percentage for Q3 2025.,,0.8715,6061,8147.07,eab613c21cae541c
EN-014,gemini,gemini-2.0-flash,EN,True,What was the root cause of the October 2025 outage?,An expired TLS certificate on the API gateway.,expired TLS certificate | API gateway,"Nusantara Dynamics Incident Postmortem - October 2025 Outage Duration The 14 October 2025 outage lasted 3 hours 20 minutes, affecting the customer portal. Root Cause The root cause was an expired TLS certificate on the API gateway.",Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,0,,0,0,0,0,0.0,0.3636,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches context and expected response with no added or fabricated information.,,0.885,5836,7916.71,c3998c85e38f976b
EN-015,gemini,gemini-2.0-flash,EN,True,What was the 2025 overall CSAT score?,"87%, up from 83% in 2024.",87% | 83% | CSAT 2025,"Nusantara Dynamics Customer Satisfaction Survey 2025 Score The overall CSAT score for 2025 was 87%, up from 83% in 2024.",Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,0,,0,0,0,0,0.0,0.4615,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with correct 2025 CSAT score and comparison to 2024.,,0.9055,6022,8119.17,f19b2ca4e19808ca
EN-016,gemini,gemini-2.0-flash,EN,True,How many security incidents occurred in 2025?,"3 reportable incidents, none resulting in data loss.",3 incidents | no data loss | 2025,"Nusantara Dynamics Annual Security Review 2025 Incidents There were 3 reportable security incidents in 2025, none resulting in data loss.",Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,0,,0,0,0,0,0.0,0.5714,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no added or unsupported information.,,0.8675,5415,7516.2,c8eb2b688a9dacb9
EN-017,gemini,gemini-2.0-flash,EN,True,What was full-year 2025 revenue?,"IDR 158 billion, with a 14% net profit margin.",IDR 158 billion | 14% | net profit margin,Nusantara Dynamics Financial Summary FY2025 Revenue Full-year 2025 revenue was IDR 158 billion. Net profit margin was 14%.,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,0,,0,0,0,0,0.0,0.5,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no added or omitted information.,,0.8516,5705,7788.77,d27072ee97fb91fe
EN-018,gemini,gemini-2.0-flash,EN,True,What database does the platform use?,"PostgreSQL 15, with Redis for caching.",PostgreSQL 15 | Redis | caching,Services communicate over REST and gRPC. ## Database The primary datastore is PostgreSQL 15.,TECH_System_Architecture.txt,TECH_System_Architecture.txt,TECH_System_Architecture.txt,0,,0,0,0,0,0.0,0.2105,0.3333,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly quotes context stating PostgreSQL 15 as the primary database.,,0.8016,5987,8081.86,c51e574692da4521
EN-019,gemini,gemini-2.0-flash,EN,True,How long are internal API tokens valid?,60 minutes.,60 minutes | API token,Tokens expire after 60 minutes. ## Rate Limit The default rate limit is 100 requests per minute per client.,TECH_Internal_API_Guide.txt,TECH_Internal_API_Guide.txt,TECH_Internal_API_Guide.txt,0,,0,0,0,0,0.0,0.2,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly.,,0.8967,5656,7751.62,82afa01e88a6bd08
