ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Failure Reason,Rejected Native Answer,Citation Validation,Generation Mode,Pipeline Error,Context Count Before Failure,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Question Keyword Coverage,Question+Answer Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Estimated Sequential E2E (ms),Context Fingerprint
EN-001,gemini,gemini-3.5-flash,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | performance evaluation | week 12,"The probation period for new employees is 3 months. During this period, a formal performance evaluation is conducted in week 12 before the employee's confirmation.",SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How long is the probation period for new employees?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.4571,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6165.96,0.0,,,SKIPPED,0.8572,15970,15991.03,22156.99,95629baec5840f82
EN-002,gemini,gemini-3.5-flash,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",4 hours | 15 minutes,"A P1 IT incident must be resolved within 4 hours. Additionally, these critical incidents must be acknowledged within 15 minutes of being reported. If a P1 incident is not resolved within 2 hours, it is escalated to the Head of Infrastructure.",SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How quickly must a P1 IT incident be resolved?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.2917,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5428.58,0.0,,,SKIPPED,0.8868,5252,5271.63,10700.21,b159d66595047529
EN-003,gemini,gemini-3.5-flash,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations,"A purchase above IDR 50 million requires Director approval. Additionally, such purchases require three vendor quotations. For new vendors, a tax ID (NPWP) and bank details must be submitted before the first purchase order can be issued.",SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What approval is needed for a purchase above IDR 50 million?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.2326,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5735.51,0.0,,,SKIPPED,0.8292,9660,9670.47,15405.98,e0ec791959012594
EN-004,gemini,gemini-3.5-flash,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense date,"Expense claims must be submitted within 30 days of the expense date. Claims older than 30 days require Finance Manager approval. Additionally, original receipts are required for any single expense above",SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What is the deadline to submit an expense claim?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.3684,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5067.48,0.0,,,SKIPPED,0.8632,6066,6078.86,11146.34,ed024e7a52c26e22
EN-005,gemini,gemini-3.5-flash,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | HR portal,"Annual leave must be requested at least 5 working days in advance. This request must be submitted through the HR portal. Approval for the leave is granted by the direct manager. If the requested leave is longer than 5 consecutive days, it also requires approval from the department head.",SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How much advance notice is required for annual leave?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.2759,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5834.69,0.0,,,SKIPPED,0.8526,5781,5792.16,11626.85,b08d979f0542f7ff
EN-006,gemini,gemini-3.5-flash,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",01:00 WIB | 6 hours,"Full database backups are taken nightly at 01:00 Western Indonesian Time. In addition to these nightly full backups,",SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How often are full database backups taken?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.2857,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4897.79,0.0,,,SKIPPED,0.7279,6057,6069.54,10967.33,35143101c1f89b7d
EN-007,gemini,gemini-3.5-flash,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | exit time,"IT must revoke all system access within 2 hours of the departing employee's exit time. Additionally, departing employees are required to return all company assets, including their laptop, access card",SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,When must IT revoke a departing employee's access?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.45,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6511.39,0.0,,,SKIPPED,0.8669,6680,6695.47,13206.86,4ced6a62b184a52d
EN-008,gemini,gemini-3.5-flash,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | manager approval,Employees can work from home a maximum of 2 days per week. This remote work arrangement is subject to obtaining approval from the employee's manager.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many days per week can employees work from home?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.4,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5389.91,0.0,,,SKIPPED,0.9012,5418,5426.43,10816.34,5941b628881a5b2b
EN-009,gemini,gemini-3.5-flash,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour,A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,,,,{},native_model,,1,evaluation_snapshot,Who must a suspected data breach be reported to and how fast?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.6364,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5143.75,0.0,,,SKIPPED,0.9049,8189,8197.58,13341.33,e4ea2ff93a3a6c48
EN-010,gemini,gemini-3.5-flash,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | per year | accruing monthly,Employees are entitled to 12 days of annual leave per year. This leave accrues on a monthly basis.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many annual leave days do employees get?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.4167,0.6667,0.0,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5827.81,0.0,,,SKIPPED,0.8928,5365,5373.0,11200.81,aad3a402e867bc3c
