id,split,category,language,difficulty,question_type,question,expected_answer,used_query,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,top_answerability_score,top_answerability_reason,top_answerability_score_margin,top_answerability_supporting_candidates,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
QA-001,all,sop,en,unspecified,factual,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",How long is the probation period for new employees?,True,sop_onboarding.pdf,,1,,1.0,,,,23420.233,5,0.835,0.78,,1.0,True,,,0.85724,Top-k evidence collectively satisfies the question without contradictions.,0.197981,5,1:SOP_Onboarding.pdf#p1[0.835] | 2:FAQ_Onboarding.txt#p-[0.637019] | 3:Report_Hiring_H1_2025.pdf#p1[0.581241] | 4:SOP_Offboarding.pdf#p1[0.468943] | 5:SOP_Customer_Complaint.pdf#p1[0.426573],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-002,all,sop,en,unspecified,factual,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",How quickly must a P1 IT incident be resolved?,True,sop_it_incident_handling.pdf,,1,,1.0,,,,252.28,5,0.834114,0.828818,,0.85,True,,,0.859651,Top-k evidence collectively satisfies the question without contradictions.,0.332229,5,1:SOP_IT_Incident_Handling.pdf#p1[0.834114] | 2:Report_Incident_Postmortem.pdf#p1[0.501885] | 3:SOP_Customer_Complaint.pdf#p1[0.465614] | 4:Policy_Data_Security.docx#p1[0.43148] | 5:SOP_Onboarding.pdf#p1[0.354515],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-003,all,sop,en,unspecified,factual,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,What approval is needed for a purchase above IDR 50 million?,True,sop_procurement.pdf,,1,,1.0,,,,255.307,5,0.74079,0.673276,,0.943333,True,,,0.829038,Top-k evidence collectively satisfies the question without contradictions.,0.010381,4,1:SOP_Procurement.pdf#p1[0.74079] | 2:Policy_Procurement_Threshold.docx#p1[0.730409] | 3:Policy_Procurement_Threshold.docx#p1[0.648456] | 4:SOP_Expense_Reimbursement.pdf#p1[0.553311] | 5:Report_Financial_FY2025.pdf#p1[0.484481],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-004,all,sop,en,unspecified,factual,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,What is the deadline to submit an expense claim?,True,sop_expense_reimbursement.pdf,,1,,1.0,,,,244.141,4,0.799492,0.746822,,0.9575,True,,,0.81858,Top-k evidence collectively satisfies the question without contradictions.,0.144814,2,1:SOP_Expense_Reimbursement.pdf#p1[0.799492] | 2:Policy_Travel_Expense.docx#p1[0.654678] | 3:SOP_Procurement.pdf#p1[0.383794] | 4:Policy_Procurement_Threshold.docx#p1[0.309933],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-005,all,sop,en,unspecified,factual,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,How much advance notice is required for annual leave?,True,sop_leave_request.pdf,,1,,1.0,,,,226.616,5,0.8198,0.771066,,0.966,True,,,0.813425,Top-k evidence collectively satisfies the question without contradictions.,0.112853,2,1:SOP_Leave_Request.pdf#p1[0.8198] | 2:Policy_Leave.docx#p1[0.706947] | 3:Policy_Leave.docx#p1[0.475693] | 4:Policy_Leave.docx#p1[0.47223] | 5:Policy_Leave.docx#p1[0.448458],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-006,all,sop,en,unspecified,factual,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",How often are full database backups taken?,True,sop_data_backup.pdf,,1,,1.0,,,,247.182,5,0.792174,0.792174,,0.76,True,,,0.824398,Top-k evidence collectively satisfies the question without contradictions.,0.419491,4,1:SOP_Data_Backup.pdf#p1[0.792174] | 2:TECH_Database_Schema.txt#p-[0.372683] | 3:Policy_Data_Security.docx#p1[0.343075] | 4:Report_Financial_FY2025.pdf#p1[0.325783] | 5:TECH_Data_Retention.txt#p-[0.322585],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-007,all,sop,en,unspecified,factual,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,When must IT revoke a departing employee's access?,True,sop_offboarding.pdf,,1,,1.0,,,,235.396,5,0.837217,0.794289,,0.966,True,,,0.826426,Top-k evidence collectively satisfies the question without contradictions.,0.414137,2,1:SOP_Offboarding.pdf#p1[0.837217] | 2:TECH_Data_Retention.txt#p-[0.42308] | 3:SOP_Onboarding.pdf#p1[0.381698] | 4:SOP_Leave_Request.pdf#p1[0.363987] | 5:FAQ_Facilities.txt#p-[0.32027],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-008,all,policy,en,unspecified,factual,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,How many days per week can employees work from home?,True,policy_wfh.docx,,2,,0.5,,,,234.223,5,0.835,0.78,,1.0,True,,,0.865991,Top-k evidence collectively satisfies the question without contradictions.,0.002183,5,1:FAQ_Remote_Work.txt#p-[0.835] | 2:Policy_WFH.docx#p1[0.832817] | 3:Policy_WFH.docx#p1[0.60423] | 4:Policy_Leave.docx#p1[0.523808] | 5:Report_Hiring_H1_2025.pdf#p1[0.381867],0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-009,all,policy,en,unspecified,factual,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,Who must a suspected data breach be reported to and how fast?,True,policy_data_security.docx,,1,,1.0,,,,403.69,5,0.896803,0.883654,,0.93625,True,,,0.791221,Top-k evidence collectively satisfies the question without contradictions.,0.381661,1,1:Policy_Data_Security.docx#p1[0.896803] | 2:Policy_Data_Security.docx#p1[0.515142] | 3:Report_Security_Review_2025.pdf#p1[0.454287] | 4:Policy_Data_Security.docx#p1[0.362251] | 5:FAQ_Security_Awareness.txt#p-[0.359205],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
QA-010,all,policy,en,unspecified,factual,How many annual leave days do employees get?,"12 days per year, accruing monthly.",How many annual leave days do employees get?,True,policy_leave.docx,,1,,1.0,,,,208.902,5,0.849892,0.814023,,0.9575,True,,,0.839144,Top-k evidence collectively satisfies the question without contradictions.,0.150915,2,1:Policy_Leave.docx#p1[0.849892] | 2:SOP_Leave_Request.pdf#p1[0.698977] | 3:Policy_Leave.docx#p1[0.55728] | 4:Policy_WFH.docx#p1[0.501336] | 5:Policy_Leave.docx#p1[0.486762],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,,,,,,,,,
