id,split,category,language,difficulty,question_type,question,answerable,expected_answer,expected_answer_keywords,expected_documents,expected_pages,source_excerpts,notes
FAQ-001,development,faq,en,easy,factual,How many dependents are covered by the company health insurance plan?,true,The company health insurance plan covers employees and up to three dependents.,up to 3 dependents | health insurance,FAQ_Benefits.txt,1,Employees and up to 3 dependents are covered by the company health insurance plan.,Tests a numeric fact from the employee benefits FAQ.
FAQ-002,development,faq,en,easy,factual,What is the standard employee mailbox quota?,true,The standard mailbox quota is 50 GB.,50 GB | mailbox quota,FAQ_Email_Calendar.txt,1,The standard mailbox quota is 50 GB.,Tests retrieval of a short technical limit.
FAQ-003,development,faq,en,easy,factual,How much does a replacement employee access card cost?,true,"A replacement access card costs IDR 50,000.","IDR 50,000 | replacement access card",FAQ_Facilities.txt,1,"Request one at the front desk; a replacement fee of IDR 50,000 applies.",Tests a fee amount and associated procedure.
FAQ-004,development,faq,en,medium,procedural,Where and when can employees find their payslips?,true,Payslips are available after the 25th in the HR portal under My Documents.,HR portal | My Documents | after the 25th,FAQ_HR.txt,1,Payslips are available in the HR portal under My Documents after the 25th.,Requires both location and timing.
FAQ-005,development,faq,id,medium,procedural,Bagaimana cara mereset kata sandi dan berapa lama prosesnya?,true,Ajukan tiket ke IT Helpdesk melalui portal. Reset diproses dalam waktu 1x24 jam.,IT Helpdesk | portal | 1x24 jam,FAQ_IT_Support.txt,1,Raise a ticket to the IT Helpdesk via the portal; resets are processed within 1x24 hours.,Cross-lingual Indonesian question over an English document.
FAQ-006,development,faq,en,medium,multi_fact,What documents or details should a new employee bring on the first day?,true,"A new employee should bring a valid ID, a tax ID or NPWP, and bank account details.",valid ID | NPWP | bank account details,FAQ_Onboarding.txt,1,"A valid ID, your tax ID (NPWP), and bank account details.",Requires complete extraction of a three-item list.
FAQ-007,development,faq,en,medium,conditional,When is salary paid if the 25th falls on a holiday?,true,Salary is paid on the prior working day when the 25th is a holiday.,prior working day | 25th | holiday,FAQ_Payroll.txt,1,"If the 25th is a holiday, payment is the prior working day.",Tests conditional policy retrieval.
FAQ-008,test,faq,id,easy,factual,Berapa tunjangan satu kali untuk perlengkapan kerja dari rumah?,true,Tunjangan satu kali untuk home office adalah IDR 1.500.000.,"IDR 1,500,000 | home-office allowance",FAQ_Remote_Work.txt,1,"A one-time home-office allowance of IDR 1,500,000 is available.",Held-out cross-lingual numeric fact.
FAQ-009,test,faq,en,medium,procedural,What should an employee do after receiving a suspicious email?,true,The employee should not click any links and should report the email using the Report Phishing button.,do not click links | Report Phishing button,FAQ_Security_Awareness.txt,1,Do not click links; report it using the Report Phishing button.,Held-out security procedure.
FAQ-010,test,faq,en,medium,procedural,Who approves an employee request for access to a software tool?,true,The system owner approves the software access request submitted through the IT Service Desk.,system owner | IT Service Desk | approves,FAQ_Software_Access.txt,1,Request it via the IT Service Desk; the system owner approves.,Held-out approval workflow.
POL-001,development,policy,en,easy,procedural,Through which channels can an employee confidentially report harassment?,true,Harassment can be reported confidentially to HR or through the whistleblower channel.,HR | whistleblower channel | confidentially,Policy_Anti_Harassment.docx,1,Complaints can be raised confidentially to HR or via the whistleblower channel.,Tests a sensitive reporting procedure without inventing contact details.
POL-002,development,policy,en,easy,requirement,What must happen before a personal device is used for work email?,true,The personal device must be enrolled in the mobile device management or MDM system.,enrolled | MDM | mobile device management,Policy_BYOD.docx,1,Personal devices used for work email must be enrolled in the mobile device management (MDM) system.,Tests a BYOD compliance requirement.
POL-003,development,policy,en,medium,procedural,How must a potential conflict of interest be disclosed?,true,A potential conflict of interest must be disclosed to HR in writing.,HR | in writing | conflict of interest,Policy_Code_of_Conduct.docx,1,Any potential conflict of interest must be disclosed to HR in writing.,Tests recipient and required disclosure format.
POL-004,development,policy,en,medium,requirement,"How quickly must a suspected data breach be reported, and to which address?",true,A suspected data breach must be reported within one hour to security@nusantaradynamics.co.id.,within 1 hour | security@nusantaradynamics.co.id,Policy_Data_Security.docx,1,Suspected data breaches must be reported to security@nusantaradynamics.co.id within 1 hour.,Requires both deadline and reporting destination.
POL-005,development,policy,en,medium,list,What are the four information-classification levels?,true,"The four levels are Public, Internal, Confidential, and Restricted.",Public | Internal | Confidential | Restricted,Policy_Information_Classification.docx,1,"Information is classified as Public, Internal, Confidential, or Restricted.",Tests complete list retrieval.
POL-006,development,policy,id,easy,factual,Berapa maksimum sisa cuti tahunan yang boleh dibawa ke tahun berikutnya?,true,Maksimum enam hari cuti yang tidak terpakai dapat dibawa ke tahun berikutnya.,6 days | carried over | next year,Policy_Leave.docx,1,A maximum of 6 unused leave days may be carried over to the next year.,Cross-lingual leave-policy question.
POL-007,development,policy,en,hard,multi_fact,"What are the password length, complexity, and rotation requirements?",true,"Passwords must be at least 12 characters, include uppercase and lowercase letters, a number, and a symbol, and be changed every 90 days.",12 characters | upper case | lower case | number | symbol | 90 days,Policy_Password.docx,1,"Passwords must be at least 12 characters and include upper case, lower case, a number, and a symbol. Rotation Passwords must be changed every 90 days.",Requires synthesis of adjacent password rules.
POL-008,test,policy,en,medium,factual,Who approves a purchase valued between IDR 10 million and IDR 50 million?,true,A department head approves purchases valued from IDR 10 million to IDR 50 million.,department head | IDR 10-50 million,Policy_Procurement_Threshold.docx,1,IDR 10-50 million: department head.,Held-out threshold lookup.
POL-009,test,policy,en,easy,factual,What is the domestic meal per diem for business travel?,true,"The domestic meal per diem is IDR 250,000 per day.","IDR 250,000 | per day | meal per diem",Policy_Travel_Expense.docx,1,"The domestic meal per diem is IDR 250,000 per day.",Held-out travel expense fact.
POL-010,test,policy,id,medium,factual,Pada jam berapa pekerja remote wajib tersedia selama core hours?,true,Pekerja remote wajib tersedia pada pukul 10.00 sampai 16.00 WIB.,10:00-16:00 WIB | core hours,Policy_WFH.docx,1,Remote workers must be available during core hours of 10:00-16:00 WIB.,Held-out cross-lingual time-range question.
