ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Failure Reason,Rejected Native Answer,Citation Validation,Generation Mode,Pipeline Error,Context Count Before Failure,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Question Keyword Coverage,Question+Answer Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Estimated Sequential E2E (ms),Context Fingerprint
EN-001,groq,llama-3.3-70b-versatile,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | performance evaluation | week 12,"The probation period for new employees is 3 months. A formal performance evaluation is conducted in week 12 before confirmation. New employees are also assigned an onboarding buddy for the first 30 days to support their integration. Additionally, they are issued a laptop and access credentials on their first day, provided the hiring manager has raised a request at least 3 working days in advance.",SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How long is the probation period for new employees?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.2162,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6165.96,0.0,,,SKIPPED,0.8572,3163,3188.65,9354.61,95629baec5840f82
EN-002,groq,llama-3.3-70b-versatile,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",4 hours | 15 minutes,"A P1 IT incident must be resolved within 4 hours. P1 incidents are considered critical and have specific response targets, which include acknowledgement within 15 minutes. If a P1 incident is not resolved within 2 hours, it is escalated to the Head of Infrastructure, indicating the severity and urgency of such incidents. The escalation procedure highlights the importance of prompt resolution to minimize potential impacts.",SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How quickly must a P1 IT incident be resolved?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.1667,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5428.58,0.0,,,SKIPPED,0.8868,2978,2989.52,8418.1,b159d66595047529
EN-003,groq,llama-3.3-70b-versatile,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations,"Director approval is needed for a purchase above IDR 50 million. Purchases above this amount also require three vendor quotations. This requirement is part of the procurement thresholds, which also state that purchases up to IDR 10,000,000 require manager approval. For new vendors, additional requirements include submitting a tax ID and bank details before the first purchase order is issued.",SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What approval is needed for a purchase above IDR 50 million?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.1515,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5735.51,0.0,,,SKIPPED,0.8292,2626,2635.62,8371.13,e0ec791959012594
EN-004,groq,llama-3.3-70b-versatile,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense date,"The deadline to submit an expense claim is within 30 days of the expense date. Claims older than 30 days require Finance Manager approval. Original receipts are mandatory for any single expense above 150,000 Indonesian Rupiah. Approved reimbursements are paid in the next payroll cycle, on the 25th of each month.",SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What is the deadline to submit an expense claim?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.2414,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5067.48,0.0,,,SKIPPED,0.8632,2289,2304.63,7372.11,ed024e7a52c26e22
EN-005,groq,llama-3.3-70b-versatile,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | HR portal,"Annual leave must be requested at least 5 working days in advance. The request is made through the HR portal, and approval is given by the direct manager. For leaves longer than 5 consecutive days, an additional approval from the department head is required. This ensures that all necessary parties are informed and agree to the leave.",SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How much advance notice is required for annual leave?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.2424,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5834.69,0.0,,,SKIPPED,0.8526,3519,3539.36,9374.05,b08d979f0542f7ff
EN-006,groq,llama-3.3-70b-versatile,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",01:00 WIB | 6 hours,"Full database backups are taken nightly. They run at 01:00 WIB, which is the scheduled time for full backups. In addition to full backups, production databases are also backed up every 6 hours. The backups are retained for specific periods, with daily backups kept for 30 days and monthly backups kept for 12 months.",SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How often are full database backups taken?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.2812,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4897.79,0.0,,,SKIPPED,0.7279,4021,4030.06,8927.85,35143101c1f89b7d
EN-007,groq,llama-3.3-70b-versatile,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | exit time,"IT must revoke a departing employee's access within 2 hours of the employee's exit time. This access revocation is part of the offboarding process, which also requires the employee to return all company assets, including laptops, access cards, and phones, on their last working day. The return of company assets and access revocation are necessary steps to ensure a smooth and secure transition when an employee leaves the company. The offboarding process is designed to be completed promptly, with access revocation occurring shortly after the employee's departure.",SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,When must IT revoke a departing employee's access?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.1818,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6511.39,0.0,,,SKIPPED,0.8669,3649,3660.65,10172.04,4ced6a62b184a52d
EN-008,groq,llama-3.3-70b-versatile,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | manager approval,"Employees can work from home a maximum of 2 days per week. This arrangement requires manager approval, indicating that the decision to work from home is not solely up to the employee. The limit of 2 days per week suggests a balance between remote work and in-office work, potentially to maintain team collaboration and productivity. Manager approval may be necessary to ensure that work-from-home arrangements do not negatively impact work responsibilities or team performance.",Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many days per week can employees work from home?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.186,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5389.91,0.0,,,SKIPPED,0.9012,2136,2147.35,7537.26,5941b628881a5b2b
EN-009,groq,llama-3.3-70b-versatile,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour,"A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour. The reporting requirement is mandatory for all suspected data breaches, emphasizing the importance of prompt notification. This rapid reporting timeframe allows for swift action to be taken in response to the breach, potentially minimizing its impact. The designated email address suggests a centralized and organized approach to handling security incidents.",Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,,,,{},native_model,,1,evaluation_snapshot,Who must a suspected data breach be reported to and how fast?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.1944,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5143.75,0.0,,,SKIPPED,0.9049,2202,2213.0,7356.75,e4ea2ff93a3a6c48
EN-010,groq,llama-3.3-70b-versatile,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | per year | accruing monthly,"Employees are entitled to 12 days of annual leave per year. This leave accrues monthly, allowing employees to gradually build up their leave balance over the course of the year. The annual leave entitlement is a standard benefit provided to all employees, and the accrual rate is consistent throughout the year. This means that employees can plan their time off with certainty, knowing exactly how many days of leave they will have available at any given time.",Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many annual leave days do employees get?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.1205,0.6667,0.0,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5827.81,0.0,,,SKIPPED,0.8928,1934,1944.9,7772.71,aad3a402e867bc3c
