ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Context Fingerprint
EN-001,ollama,qwen3-custom:latest,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | probation | week 12,Probation New employees serve a probation period of 3 months. A formal performance evaluation is conducted in week 12 before confirmation.,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,0,0,0,0,0.0,0.5333,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,"Answer matches context exactly, providing correct probation duration and evaluation timing.",,0.9687,7260,9339.85,4a68231bee9ff414
EN-002,ollama,qwen3-custom:latest,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",P1 | 4 hours | 15 minutes,Response Targets P1 incidents must be acknowledged within 15 minutes and resolved within 4 hours.,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,0,0,0,0,0.0,0.6364,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer directly matches the context's 15-minute acknowledgment and 4-hour resolution requirement for P1 incidents.,,0.9332,6850,8898.7,aeee7daf65d172cc
EN-003,ollama,qwen3-custom:latest,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations | above IDR 50 million,"Purchases above IDR 50,000,000 require Director approval and three vendor quotations. Vendor Onboarding New vendors must submit a tax ID (NPWP) and bank details before the first purchase order is issued.",SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,0,0,0,0,0.0,0.2703,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer correctly states required approvals and includes relevant context details without inventing facts.,,0.8752,6387,8445.36,41b21480b74b9d57
EN-004,ollama,qwen3-custom:latest,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense claim deadline,Nusantara Dynamics SOP - Expense Reimbursement Submission Window Expense claims must be submitted within 30 days of the expense date.,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,0,0,0,0,0.0,0.5385,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly quotes context with correct deadline.,,0.9,6671,8701.05,b5077fab7bad20e8
EN-005,ollama,qwen3-custom:latest,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | annual leave | HR portal,Nusantara Dynamics SOP - Leave Request Notice Annual leave must be requested at least 5 working days in advance through the HR portal. Approval Leave is approved by the direct manager.,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,0,0,0,0,0.0,0.4103,1.0,3.0,5.0,1.0,1.0,1.0,0.0,1,"System answer includes unsupported company name and formatting, but correctly states 5 working days via HR portal.",,0.9217,7252,9309.01,e30738ab7b279fd1
EN-006,ollama,qwen3-custom:latest,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",nightly 01:00 WIB | full backup | 6 hours incremental,Full backups run nightly at 01:00 WIB. Retention Daily backups are retained for 30 days; monthly backups for 12 months.,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,0,0,0,0,0.0,0.3333,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,"Answer correctly states full backup schedule from context, no unsupported claims added.",,0.8541,6241,8295.35,b4af66da2d183397
EN-007,ollama,qwen3-custom:latest,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | offboarding | access revocation,"Nusantara Dynamics SOP - Employee Offboarding Asset Return Departing employees must return all company assets (laptop, access card, phone) on their last working day. Access Revocation IT revokes all system access within 2 hours of the employee's exit time.",SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,0,0,0,0,0.0,0.375,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no added or fabricated information.,,0.9685,7248,9283.18,1a92383f091b9b56
EN-008,ollama,qwen3-custom:latest,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | WFH | manager approval,"Limit Employees may work from home a maximum of 2 days per week, with manager approval.",Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,0,0,0,0,0.0,0.56,0.6667,1.0,1.0,1.0,1.0,1.0,0.0,0,"The answer directly quotes the context's key fact about 2 days per week with manager approval, aligning with the expected behavior.",,0.9387,6405,8459.65,4fb1d945439107fe
EN-009,ollama,qwen3-custom:latest,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour | data breach,Reporting Suspected data breaches must be reported to security@nusantaradynamics.co.id within 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,0,0,0,0,0.0,0.6364,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches retrieved context exactly with no added or removed information.,,0.9296,6929,8973.33,a750123b6a9ed054
EN-010,ollama,qwen3-custom:latest,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | annual leave | accruing monthly,12 days,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,0,0,0,0,0.0,0.5,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer directly reflects the 12 days stated in the context.,,0.9299,32087,34131.06,bec48fadd6d4b7df
EN-011,ollama,qwen3-custom:latest,EN,True,What are the password requirements?,"At least 12 characters with upper, lower, number, and symbol; changed every 90 days.",12 characters | upper lower number symbol | 90 days,The password requirements are defined in the Password Policy document.,Policy_Password.docx,Policy_Password.docx,Policy_Password.docx,0,,0,0,0,0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0,Answer cites document but does not provide specific password requirements from context.,,0.8567,6602,8651.13,50037f72d4ae85ff
EN-012,ollama,qwen3-custom:latest,EN,True,What is the domestic meal per diem?,"IDR 250,000 per day.","IDR 250,000 | per day | meal per diem","The domestic meal per diem is IDR 250,000 per day.",Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,0,,0,0,0,0,0.0,0.5714,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with no unsupported claims.,,0.9,8403,10462.67,8480466a11e63a62
EN-013,ollama,qwen3-custom:latest,EN,True,What was Q3 2025 revenue?,"IDR 42.5 billion, up 12% over Q2 2025.",IDR 42.5 billion | 12% | Q3 2025,Q3 2025 revenue was IDR 42.5 billion.,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,0,0,0,0,0.0,0.5333,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,The answer correctly states the revenue figure from the context.,,0.8715,8302,10338.31,eab613c21cae541c
EN-014,ollama,qwen3-custom:latest,EN,True,What was the root cause of the October 2025 outage?,An expired TLS certificate on the API gateway.,expired TLS certificate | API gateway,The root cause of the October 2025 outage was an expired TLS certificate on the API gateway.,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,0,,0,0,0,0,0.0,0.64,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context's explicit statement about the expired TLS certificate causing the outage.,,0.885,8016,10064.11,c3998c85e38f976b
EN-015,ollama,qwen3-custom:latest,EN,True,What was the 2025 overall CSAT score?,"87%, up from 83% in 2024.",87% | 83% | CSAT 2025,87%,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,0,,0,0,0,0,0.0,0.2857,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer correctly states 2025 CSAT score from context.,,0.9055,5957,8011.35,f19b2ca4e19808ca
EN-016,ollama,qwen3-custom:latest,EN,True,How many security incidents occurred in 2025?,"3 reportable incidents, none resulting in data loss.",3 incidents | no data loss | 2025,3 security incidents occurred in 2025.,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,0,,0,0,0,0,0.0,0.4286,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches context exactly with correct count and no unsupported claims.,,0.8675,5387,7480.79,c8eb2b688a9dacb9
EN-017,ollama,qwen3-custom:latest,EN,True,What was full-year 2025 revenue?,"IDR 158 billion, with a 14% net profit margin.",IDR 158 billion | 14% | net profit margin,Full-year 2025 revenue was IDR 158 billion.,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,0,,0,0,0,0,0.0,0.3529,0.3333,5.0,5.0,1.0,1.0,1.0,0.0,0,"Answer directly addresses revenue from context, no unsupported claims.",,0.8516,7037,9067.37,d27072ee97fb91fe
EN-018,ollama,qwen3-custom:latest,EN,True,What database does the platform use?,"PostgreSQL 15, with Redis for caching.",PostgreSQL 15 | Redis | caching,PostgreSQL 15.,TECH_System_Architecture.txt,TECH_System_Architecture.txt,TECH_System_Architecture.txt,0,,0,0,0,0,0.0,0.5,0.3333,1.0,1.0,1.0,1.0,1.0,0.0,0,"Answer correctly identifies PostgreSQL 15 from context, which directly addresses the question.",,0.8016,5621,7667.91,c51e574692da4521
EN-019,ollama,qwen3-custom:latest,EN,True,How long are internal API tokens valid?,60 minutes.,60 minutes | API token,60 minutes.,TECH_Internal_API_Guide.txt,TECH_Internal_API_Guide.txt,TECH_Internal_API_Guide.txt,0,,0,0,0,0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer directly matches context's explicit statement about token expiration duration.,,0.8967,7795,9835.2,82afa01e88a6bd08
EN-020,ollama,qwen3-custom:latest,EN,True,What are the RTO and RPO?,RTO is 4 hours and RPO is 1 hour.,RTO 4 hours | RPO 1 hour,The recovery time objective (RTO) is 4 hours and the recovery point objective (RPO) is 1 hour.,TECH_Disaster_Recovery.txt,TECH_Disaster_Recovery.txt,TECH_Disaster_Recovery.txt,0,,0,0,0,0,0.0,0.6923,1.0,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer exactly matches retrieved context's RTO and RPO values.,,0.8027,8838,10901.04,cf982f6703d73605
EN-021,ollama,qwen3-custom:latest,EN,True,What is the API availability SLO?,99.9% per month.,99.9% | monthly | API availability SLO,The API availability SLO is 99.9% per month.,TECH_Monitoring_Guide.txt,TECH_Monitoring_Guide.txt,TECH_Monitoring_Guide.txt,0,,0,0,0,0,0.0,0.5455,0.6667,5.0,5.0,1.0,1.0,1.0,0.0,0,Answer matches retrieved context exactly with no added or modified information.,,0.9,7305,9363.46,9b65c7e5d8a65c5a
