id,split,category,language,difficulty,question_type,question,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
FAQ-001,development,faq,en,easy,factual,How many dependents are covered by the company health insurance plan?,True,faq_benefits.txt,faq_benefits.txt#p1,1,1,1.0,1.0,,,444.337,5,0.78,1:FAQ_Benefits.txt#p1[0.78] | 2:FAQ_Remote_Work.txt#p1[0.279629] | 3:Policy_Leave.docx#p1[0.232017] | 4:FAQ_Software_Access.txt#p1[0.187582] | 5:TECH_Disaster_Recovery.txt#p1[0.045423],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-002,development,faq,en,easy,factual,What is the standard employee mailbox quota?,True,faq_email_calendar.txt,faq_email_calendar.txt#p1,1,1,1.0,1.0,,,214.327,6,0.78,1:FAQ_Email_Calendar.txt#p1[0.78] | 2:Policy_Procurement_Threshold.docx#p1[0.20439] | 3:SOP_Offboarding.pdf#p1[0.200211] | 4:FAQ_Facilities.txt#p1[0.191503] | 5:SOP_Travel_Booking.pdf#p1[0.076107] | 6:SOP_Onboarding.pdf#p1[0.047111],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-003,development,faq,en,easy,factual,How much does a replacement employee access card cost?,True,faq_facilities.txt,faq_facilities.txt#p1,1,1,1.0,1.0,,,123.053,8,0.723544,1:FAQ_Facilities.txt#p1[0.723544] | 2:SOP_Offboarding.pdf#p1[0.366542] | 3:FAQ_Software_Access.txt#p1[0.253778] | 4:Policy_Travel_Expense.docx#p1[0.239675] | 5:FAQ_IT_Support.txt#p1[0.221669] | 6:SOP_Access_Provisioning.pdf#p1[0.21044] | 7:SOP_Onboarding.pdf#p1[0.191149] | 8:FAQ_Email_Calendar.txt#p1[0.062029],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-004,development,faq,en,medium,procedural,Where and when can employees find their payslips?,True,faq_hr.txt,faq_hr.txt#p1,1,1,1.0,1.0,,,142.363,14,0.678053,1:FAQ_HR.txt#p1[0.678053] | 2:FAQ_Payroll.txt#p1[0.434448] | 3:SOP_Offboarding.pdf#p1[0.306125] | 4:Report_Hiring_H1_2025.pdf#p1[0.27397] | 5:FAQ_Remote_Work.txt#p1[0.252441] | 6:Policy_WFH.docx#p1[0.24496] | 7:SOP_Expense_Reimbursement.pdf#p1[0.242968] | 8:FAQ_Benefits.txt#p1[0.236485] | 9:Policy_Code_of_Conduct.docx#p1[0.225979] | 10:SOP_Onboarding.pdf#p1[0.221643] | 11:Policy_Leave.docx#p1[0.19012] | 12:Policy_Anti_Harassment.docx#p1[0.082968] | 13:FAQ_Security_Awareness.txt#p1[0.07956] | 14:TECH_VPN_Setup.txt#p1[0.053493],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-005,development,faq,id,medium,procedural,Bagaimana cara mereset kata sandi dan berapa lama prosesnya?,True,faq_it_support.txt,faq_it_support.txt#p1,,,0.0,0.0,,,144.606,1,0.204671,1:Report_Vendor_Evaluation.pdf#p1[0.204671],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAQ-006,development,faq,en,medium,multi_fact,What documents or details should a new employee bring on the first day?,True,faq_onboarding.txt,faq_onboarding.txt#p1,1,1,1.0,1.0,,,184.328,12,0.556211,1:FAQ_Onboarding.txt#p1[0.556211] | 2:SOP_Onboarding.pdf#p1[0.338107] | 3:SOP_Procurement.pdf#p1[0.264674] | 4:SOP_Offboarding.pdf#p1[0.237212] | 5:SOP_Customer_Complaint.pdf#p1[0.216198] | 6:Policy_BYOD.docx#p1[0.188623] | 7:FAQ_HR.txt#p1[0.187773] | 8:FAQ_Facilities.txt#p1[0.150369] | 9:FAQ_Payroll.txt#p1[0.14586] | 10:FAQ_IT_Support.txt#p1[0.064597] | 11:Report_Q3_2025_Performance.pdf#p1[0.044652] | 12:Policy_Travel_Expense.docx#p1[0.038768],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-007,development,faq,en,medium,conditional,When is salary paid if the 25th falls on a holiday?,True,faq_payroll.txt,faq_payroll.txt#p1,1,1,1.0,1.0,,,203.671,3,0.596876,1:FAQ_Payroll.txt#p1[0.596876] | 2:SOP_Expense_Reimbursement.pdf#p1[0.242927] | 3:FAQ_HR.txt#p1[0.201826],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-001,development,policy,en,easy,procedural,Through which channels can an employee confidentially report harassment?,True,policy_anti_harassment.docx,policy_anti_harassment.docx#p1,1,1,1.0,1.0,,,225.453,16,0.636873,1:Policy_Anti_Harassment.docx#p1[0.636873] | 2:FAQ_Security_Awareness.txt#p1[0.269442] | 3:SOP_Offboarding.pdf#p1[0.257315] | 4:Policy_Code_of_Conduct.docx#p1[0.242704] | 5:FAQ_Remote_Work.txt#p1[0.181594] | 6:SOP_Leave_Request.pdf#p1[0.173749] | 7:Report_IT_Audit_2025.pdf#p1[0.170555] | 8:SOP_Onboarding.pdf#p1[0.144288] | 9:FAQ_Facilities.txt#p1[0.068008] | 10:SOP_Travel_Booking.pdf#p1[0.065325] | 11:FAQ_IT_Support.txt#p1[0.06365] | 12:Report_Sustainability_2025.pdf#p1[0.053483] | 13:Report_Network_Capacity.pdf#p1[0.052293] | 14:Report_Vendor_Evaluation.pdf#p1[0.051155] | 15:Report_Hiring_H1_2025.pdf#p1[0.048515] | 16:Report_Q3_2025_Performance.pdf#p1[0.043568],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-002,development,policy,en,easy,requirement,What must happen before a personal device is used for work email?,True,policy_byod.docx,policy_byod.docx#p1,1,1,1.0,1.0,,,236.616,10,0.78,1:Policy_BYOD.docx#p1[0.78] | 2:FAQ_Security_Awareness.txt#p1[0.436045] | 3:Policy_Data_Security.docx#p1[0.316018] | 4:Policy_WFH.docx#p1[0.276397] | 5:FAQ_Email_Calendar.txt#p1[0.251704] | 6:FAQ_Remote_Work.txt#p1[0.245018] | 7:Policy_Password.docx#p1[0.224117] | 8:SOP_Onboarding.pdf#p1[0.215865] | 9:SOP_Procurement.pdf#p1[0.070982] | 10:TECH_System_Architecture.txt#p1[0.064797],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-003,development,policy,en,medium,procedural,How must a potential conflict of interest be disclosed?,True,policy_code_of_conduct.docx,policy_code_of_conduct.docx#p1,1,1,1.0,1.0,,,174.653,1,0.78,1:Policy_Code_of_Conduct.docx#p1[0.78],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
