id,split,category,language,difficulty,question_type,question,used_query,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
FAQ-001,development,faq,en,hard,factual,"If an employee has a spouse and four children, will the entire family receive full medical coverage under the corporate policy?",health insurance coverage limit for employee dependents family,True,faq_benefits.txt,faq_benefits.txt#p1,1,1,1.0,1.0,,,710.587,1,0.417303,0.687906,0.001836,0.943333,True,,,1:FAQ_Benefits.txt#p1[0.417303],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-002,development,faq,en,medium,factual,What is the maximum storage limit allowed for an employee's corporate electronic mail?,employee corporate email mailbox quota maximum capacity,True,faq_email_calendar.txt,faq_email_calendar.txt#p1,1,1,1.0,1.0,,,558.72,1,0.659372,0.642287,0.537481,0.915,True,,,1:FAQ_Email_Calendar.txt#p1[0.659372],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-003,development,faq,en,easy,factual,What is the financial penalty for losing your building entry badge?,replacement fee lost access card IDR,True,faq_facilities.txt,faq_facilities.txt#p1,1,1,1.0,1.0,,,540.404,2,0.844823,0.78,0.814678,0.971667,True,,,1:FAQ_Facilities.txt#p1[0.844823] | 2:SOP_Offboarding.pdf#p1[0.337443],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-004,development,faq,en,medium,procedural,"If today is the 26th of the month, which portal should staff access to view their latest compensation details?",where to find payslips after the 25th HR portal My Documents,True,faq_hr.txt,faq_hr.txt#p1,1,1,1.0,1.0,,,1547.233,1,0.962835,0.86,0.999148,1.0,True,,,1:FAQ_HR.txt#p1[0.962835],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-005,development,faq,en,hard,procedural,"If I forget the credentials to log into the internal system, what is the procedure and the maximum time limit for recovery?",password reset procedure IT helpdesk SLA 1x24 hours,True,faq_it_support.txt,faq_it_support.txt#p1,1,1,1.0,1.0,,,1430.373,1,0.898903,0.78,0.923536,0.975714,True,,,1:FAQ_IT_Support.txt#p1[0.898903],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-006,development,faq,id,medium,multi_fact,Dokumen fisik atau identifikasi spesifik apa yang wajib dibawa oleh karyawan baru pada hari orientasi pertama?,syarat dokumen onboarding karyawan baru hari pertama NPWP rekening,True,faq_onboarding.txt,faq_onboarding.txt#p1,1,1,1.0,1.0,,,1630.189,1,0.315798,0.678925,0.000163,0.55,True,,,1:FAQ_Onboarding.txt#p1[0.315798],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-007,development,faq,id,medium,conditional,"Jika tanggal 25 Desember adalah Hari Raya Natal, pada hari apa karyawan akan menerima upah bulanan mereka?","If the 25th of December is Christmas Day, on what day will employees receive their monthly wages?",True,faq_payroll.txt,faq_payroll.txt#p1,1,1,1.0,1.0,,,1458.594,1,0.654087,0.648759,0.656956,0.6,True,,,1:FAQ_Payroll.txt#p1[0.654087],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-001,development,policy,en,hard,procedural,"If an employee experiences inappropriate workplace behavior but fears retaliation from their direct manager, what are the approved secure avenues to escalate the issue?",report harassment confidentially HR whistleblower channel,True,policy_anti_harassment.docx,policy_anti_harassment.docx#p1,1,1,1.0,1.0,,,1395.334,1,0.9409,0.78,0.997231,1.0,True,,,1:Policy_Anti_Harassment.docx#p1[0.9409],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-002,development,policy,en,medium,requirement,Can I check my corporate inbox on my own private iPad without any prior IT setup?,BYOD policy personal device work email MDM enrollment,True,policy_byod.docx,policy_byod.docx#p1,1,1,1.0,1.0,,,1076.297,1,0.96317,0.86,0.999835,1.0,True,,,1:Policy_BYOD.docx#p1[0.96317],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-003,development,policy,en,medium,procedural,"If my spouse's consulting firm is bidding on a contract with our company, how and to whom should I report this situation?",conflict of interest disclosure procedure HR in writing,True,policy_code_of_conduct.docx,policy_code_of_conduct.docx#p1,1,1,1.0,1.0,,,1178.656,1,0.88434,0.673967,0.997618,0.88,True,,,1:Policy_Code_of_Conduct.docx#p1[0.88434],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
