id,split,category,language,difficulty,question_type,question,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
FAQ-001,development,faq,en,easy,factual,How many dependents are covered by the company health insurance plan?,True,faq_benefits.txt,faq_benefits.txt#p1,1,1,1.0,1.0,,,350.533,5,0.78,1:FAQ_Benefits.txt#p1[0.78] | 2:FAQ_Remote_Work.txt#p1[0.279629] | 3:Policy_Leave.docx#p1[0.232017] | 4:FAQ_Software_Access.txt#p1[0.187582] | 5:TECH_Disaster_Recovery.txt#p1[0.045423],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-002,development,faq,en,easy,factual,What is the standard employee mailbox quota?,True,faq_email_calendar.txt,faq_email_calendar.txt#p1,1,1,1.0,1.0,,,278.2,6,0.78,1:FAQ_Email_Calendar.txt#p1[0.78] | 2:Policy_Procurement_Threshold.docx#p1[0.20439] | 3:SOP_Offboarding.pdf#p1[0.200211] | 4:FAQ_Facilities.txt#p1[0.191503] | 5:SOP_Travel_Booking.pdf#p1[0.076107] | 6:SOP_Onboarding.pdf#p1[0.047111],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-003,development,faq,en,easy,factual,How much does a replacement employee access card cost?,True,faq_facilities.txt,faq_facilities.txt#p1,1,1,1.0,1.0,,,253.33,8,0.723544,1:FAQ_Facilities.txt#p1[0.723544] | 2:SOP_Offboarding.pdf#p1[0.366542] | 3:FAQ_Software_Access.txt#p1[0.253778] | 4:Policy_Travel_Expense.docx#p1[0.239675] | 5:FAQ_IT_Support.txt#p1[0.221669] | 6:SOP_Access_Provisioning.pdf#p1[0.21044] | 7:SOP_Onboarding.pdf#p1[0.191149] | 8:FAQ_Email_Calendar.txt#p1[0.062029],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-004,development,faq,en,medium,procedural,Where and when can employees find their payslips?,True,faq_hr.txt,faq_hr.txt#p1,1,1,1.0,1.0,,,236.159,14,0.678053,1:FAQ_HR.txt#p1[0.678053] | 2:FAQ_Payroll.txt#p1[0.434448] | 3:SOP_Offboarding.pdf#p1[0.306125] | 4:Report_Hiring_H1_2025.pdf#p1[0.27397] | 5:FAQ_Remote_Work.txt#p1[0.252441] | 6:Policy_WFH.docx#p1[0.24496] | 7:SOP_Expense_Reimbursement.pdf#p1[0.242968] | 8:FAQ_Benefits.txt#p1[0.236485] | 9:Policy_Code_of_Conduct.docx#p1[0.225979] | 10:SOP_Onboarding.pdf#p1[0.221643] | 11:Policy_Leave.docx#p1[0.19012] | 12:Policy_Anti_Harassment.docx#p1[0.082968] | 13:FAQ_Security_Awareness.txt#p1[0.07956] | 14:TECH_VPN_Setup.txt#p1[0.053493],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-005,development,faq,id,medium,procedural,Bagaimana cara mereset kata sandi dan berapa lama prosesnya?,True,faq_it_support.txt,faq_it_support.txt#p1,,,0.0,0.0,,,232.697,1,0.204671,1:Report_Vendor_Evaluation.pdf#p1[0.204671],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAQ-006,development,faq,en,medium,multi_fact,What documents or details should a new employee bring on the first day?,True,faq_onboarding.txt,faq_onboarding.txt#p1,1,1,1.0,1.0,,,227.655,12,0.556211,1:FAQ_Onboarding.txt#p1[0.556211] | 2:SOP_Onboarding.pdf#p1[0.338107] | 3:SOP_Procurement.pdf#p1[0.264674] | 4:SOP_Offboarding.pdf#p1[0.237212] | 5:SOP_Customer_Complaint.pdf#p1[0.216198] | 6:Policy_BYOD.docx#p1[0.188623] | 7:FAQ_HR.txt#p1[0.187773] | 8:FAQ_Facilities.txt#p1[0.150369] | 9:FAQ_Payroll.txt#p1[0.14586] | 10:FAQ_IT_Support.txt#p1[0.064597] | 11:Report_Q3_2025_Performance.pdf#p1[0.044652] | 12:Policy_Travel_Expense.docx#p1[0.038768],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-007,development,faq,en,medium,conditional,When is salary paid if the 25th falls on a holiday?,True,faq_payroll.txt,faq_payroll.txt#p1,1,1,1.0,1.0,,,215.872,3,0.596876,1:FAQ_Payroll.txt#p1[0.596876] | 2:SOP_Expense_Reimbursement.pdf#p1[0.242927] | 3:FAQ_HR.txt#p1[0.201826],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-008,test,faq,id,easy,factual,Berapa tunjangan satu kali untuk perlengkapan kerja dari rumah?,True,faq_remote_work.txt,faq_remote_work.txt#p1,,,0.0,0.0,,,244.543,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAQ-009,test,faq,en,medium,procedural,What should an employee do after receiving a suspicious email?,True,faq_security_awareness.txt,faq_security_awareness.txt#p1,1,1,1.0,1.0,,,215.626,11,0.631235,1:FAQ_Security_Awareness.txt#p1[0.631235] | 2:SOP_Offboarding.pdf#p1[0.296816] | 3:FAQ_Email_Calendar.txt#p1[0.272503] | 4:Policy_BYOD.docx#p1[0.246084] | 5:TECH_Data_Retention.txt#p1[0.202251] | 6:FAQ_HR.txt#p1[0.200533] | 7:FAQ_Onboarding.txt#p1[0.194519] | 8:FAQ_Facilities.txt#p1[0.187663] | 9:Policy_Password.docx#p1[0.169857] | 10:SOP_Onboarding.pdf#p1[0.16253] | 11:TECH_Internal_API_Guide.txt#p1[0.139287],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-010,test,faq,en,medium,procedural,Who approves an employee request for access to a software tool?,True,faq_software_access.txt,faq_software_access.txt#p1,1,1,1.0,1.0,,,221.83,7,0.78,1:FAQ_Software_Access.txt#p1[0.78] | 2:SOP_Access_Provisioning.pdf#p1[0.319236] | 3:SOP_Offboarding.pdf#p1[0.268533] | 4:FAQ_Facilities.txt#p1[0.225706] | 5:Policy_Procurement_Threshold.docx#p1[0.219656] | 6:Policy_BYOD.docx#p1[0.204376] | 7:SOP_Onboarding.pdf#p1[0.185498],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
