ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Failure Reason,Rejected Native Answer,Citation Validation,Generation Mode,Pipeline Error,Context Count Before Failure,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Question Keyword Coverage,Question+Answer Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Estimated Sequential E2E (ms),Context Fingerprint
EN-001,ollama,qwen3-custom:latest,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | performance evaluation | week 12,The probation period for new employees is 3 months. A formal performance evaluation is conducted in week 12 before confirmation.,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How long is the probation period for new employees?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.5517,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9724.35,0.0,,,SKIPPED,0.8572,19696,19730.92,29455.27,95629baec5840f82
EN-002,ollama,qwen3-custom:latest,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",4 hours | 15 minutes,"P1 IT incidents must be acknowledged within 15 minutes and resolved within 4 hours. If a P1 incident is not resolved within 2 hours, it is escalated to the Head of Infrastructure.",SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How quickly must a P1 IT incident be resolved?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.359,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,8653.55,0.0,,,SKIPPED,0.8868,18515,18543.21,27196.76,b159d66595047529
EN-003,ollama,qwen3-custom:latest,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations,Purchases above IDR 50 million require Director approval and three vendor quotations.,SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What approval is needed for a purchase above IDR 50 million?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.5556,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9744.66,0.0,,,SKIPPED,0.8292,5381,5401.64,15146.3,e0ec791959012594
EN-004,ollama,qwen3-custom:latest,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense date,The deadline to submit an expense claim is within 30 days of the expense date. Claims older than 30 days require Finance Manager approval.,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What is the deadline to submit an expense claim?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9975.34,0.0,,,SKIPPED,0.8632,15339,15373.36,25348.7,ed024e7a52c26e22
EN-005,ollama,qwen3-custom:latest,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | HR portal,Annual leave must be requested at least 5 working days in advance.,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How much advance notice is required for annual leave?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.4762,0.5,0.0,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,10614.86,0.0,,,SKIPPED,0.8526,14133,14159.12,24773.98,b08d979f0542f7ff
EN-006,ollama,qwen3-custom:latest,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",01:00 WIB | 6 hours,"Full database backups are taken nightly at 01:00 WIB. Additionally, full backups are run every 6 hours.",SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How often are full database backups taken?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.5926,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9204.12,0.0,,,SKIPPED,0.7279,5034,5053.17,14257.29,35143101c1f89b7d
EN-007,ollama,qwen3-custom:latest,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | exit time,IT must revoke a departing employee's access within 2 hours of the employee's exit time. The exact time is determined by the employee's last working day.,SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,When must IT revoke a departing employee's access?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.4737,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9834.55,0.0,,,SKIPPED,0.8669,7117,7124.13,16958.68,4ced6a62b184a52d
EN-008,ollama,qwen3-custom:latest,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | manager approval,Employees may work from home a maximum of 2 days per week. This limit applies with manager approval.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many days per week can employees work from home?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.5185,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9168.4,0.0,,,SKIPPED,0.9012,3864,3891.7,13060.1,5941b628881a5b2b
EN-009,ollama,qwen3-custom:latest,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour,A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour. The reporting deadline is explicitly set at 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,,,,{},native_model,,1,evaluation_snapshot,Who must a suspected data breach be reported to and how fast?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,8763.25,0.0,,,SKIPPED,0.9049,31751,31760.85,40524.1,e4ea2ff93a3a6c48
EN-010,ollama,qwen3-custom:latest,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | per year | accruing monthly,Employees are entitled to 12 days of annual leave per year.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many annual leave days do employees get?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.4706,0.6667,0.0,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9388.8,0.0,,,SKIPPED,0.8928,4933,4950.41,14339.21,aad3a402e867bc3c
EN-011,ollama,qwen3-custom:latest,EN,True,What are the password requirements?,"At least 12 characters with upper, lower, number, and symbol; changed every 90 days.",12 characters | upper lower number symbol | 90 days,"Passwords must be at least 12 characters and include upper case, lower case, a number, and a symbol.",Policy_Password.docx,Policy_Password.docx,Policy_Password.docx,0,,,,,{},native_model,,2,evaluation_snapshot,What are the password requirements?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.4667,0.3333,0.0,0.3333,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9137.93,0.0,,,SKIPPED,0.6102,16846,16854.65,25992.58,76b012b3543ed8e1
EN-012,ollama,qwen3-custom:latest,EN,True,What is the domestic meal per diem?,"IDR 250,000 per day.","IDR 250,000 | per day","The domestic meal per diem is IDR 250,000 per day.",Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,Policy_Travel_Expense.docx,0,,,,,{},native_model,,1,evaluation_snapshot,What is the domestic meal per diem?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.5714,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9336.93,0.0,,,SKIPPED,0.01,5022,5051.35,14388.28,42b68bccebe578fa
EN-013,ollama,qwen3-custom:latest,EN,True,What was Q3 2025 revenue?,"IDR 42.5 billion, up 12% over Q2 2025.",IDR 42.5 billion | 12% | Q2 2025,Q3 2025 revenue was IDR 42.5 billion.,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,Report_Q3_2025_Performance.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What was Q3 2025 revenue?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.5333,0.3333,0.0,0.3333,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,8850.38,0.0,,,SKIPPED,0.9104,10014,10027.3,18877.68,8d643bcde2935316
EN-014,ollama,qwen3-custom:latest,EN,True,What was the root cause of the October 2025 outage?,An expired TLS certificate on the API gateway.,expired TLS certificate | API gateway,The root cause of the October 2025 outage was an expired TLS certificate on the API gateway.,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,Report_Incident_Postmortem.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What was the root cause of the October 2025 outage?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.64,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9234.23,0.0,,,SKIPPED,0.7017,10848,10874.86,20109.09,f696eb004287d0fd
EN-015,ollama,qwen3-custom:latest,EN,True,What was the 2025 overall CSAT score?,"87%, up from 83% in 2024.",87% | 83% | 2024,The 2025 overall CSAT score was 87%. This score represents an increase from the 83% recorded in 2024.,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,Report_CSAT_2025.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What was the 2025 overall CSAT score?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.4167,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,8737.14,0.0,,,SKIPPED,0.01,6350,6380.37,15117.51,5568ea8523f14966
EN-016,ollama,qwen3-custom:latest,EN,True,How many security incidents occurred in 2025?,"3 reportable incidents, none resulting in data loss.",3 reportable incidents | no data loss,There were 3 reportable security incidents in 2025. None of these incidents resulted in data loss.,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,Report_Security_Review_2025.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,How many security incidents occurred in 2025?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.4545,0.5,0.0,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,7950.01,0.0,,,SKIPPED,0.8658,16062,16069.28,24019.29,6f7b0ffcd1393c63
EN-017,ollama,qwen3-custom:latest,EN,True,What was full-year 2025 revenue?,"IDR 158 billion, with a 14% net profit margin.",IDR 158 billion | 14% | net profit margin,Full-year 2025 revenue was IDR 158 billion.,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,Report_Financial_FY2025.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,What was full-year 2025 revenue?,rag-bilingual-eval-v16-20260802,0,,0,0,0,0,0.0,0.3529,0.3333,0.0,0.3333,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,8319.65,0.0,,,SKIPPED,0.9098,9134,9157.6,17477.25,3b5fafbea60f76b6
