ID,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Hallucination
FAQ-008,5.0,4.0,1.0,1.0,1.0,0
FAQ-009,1.0,1.0,1.0,1.0,1.0,0
FAQ-010,1.0,1.0,1.0,1.0,1.0,0
FAQ-013,5.0,3.0,1.0,1.0,1.0,0
FAQ-017,5.0,5.0,1.0,1.0,1.0,0
FAQ-018,5.0,5.0,1.0,1.0,1.0,0
POL-008,5.0,1.0,1.0,1.0,1.0,0
POL-009,1.0,1.0,1.0,1.0,1.0,0
POL-010,5.0,5.0,1.0,1.0,1.0,0
POL-013,1.0,1.0,1.0,1.0,1.0,0
POL-014,5.0,1.0,1.0,1.0,1.0,0
POL-017,5.0,5.0,1.0,1.0,1.0,0
POL-018,1.0,3.0,1.0,1.0,1.0,0
REP-008,5.0,2.0,1.0,1.0,1.0,0
REP-009,5.0,1.0,1.0,1.0,1.0,0
REP-010,5.0,1.0,1.0,1.0,1.0,0
REP-013,5.0,1.0,1.0,1.0,1.0,0
REP-014,5.0,1.0,1.0,1.0,1.0,0
REP-017,5.0,5.0,1.0,1.0,1.0,0
REP-018,5.0,3.0,1.0,1.0,1.0,0
SOP-008,5.0,3.0,1.0,1.0,1.0,0
SOP-009,5.0,1.0,1.0,1.0,1.0,0
SOP-010,5.0,1.0,1.0,1.0,1.0,0
SOP-013,1.0,3.0,1.0,1.0,1.0,0
SOP-014,5.0,1.0,1.0,1.0,1.0,0
SOP-017,5.0,3.0,1.0,1.0,1.0,0
SOP-018,2.0,2.0,1.0,1.0,1.0,1
TECH-008,3.0,1.0,1.0,1.0,1.0,0
TECH-009,5.0,1.0,1.0,1.0,1.0,0
TECH-010,1.0,1.0,1.0,1.0,1.0,0
TECH-013,5.0,5.0,1.0,1.0,1.0,0
TECH-014,5.0,5.0,1.0,1.0,1.0,0
TECH-017,2.0,2.0,1.0,1.0,1.0,1
TECH-018,5.0,1.0,1.0,1.0,1.0,0
NEG-006,5.0,4.0,1.0,5.0,5.0,0
NEG-007,5.0,1.0,1.0,5.0,5.0,0
NEG-008,5.0,5.0,1.0,5.0,5.0,0
NEG-009,5.0,1.0,1.0,5.0,5.0,1
NEG-010,5.0,2.0,1.0,5.0,5.0,0
NEG-013,5.0,5.0,1.0,5.0,5.0,0
NEG-014,5.0,1.0,1.0,5.0,5.0,0
NEG-015,5.0,2.0,1.0,5.0,5.0,0
NEG-018,5.0,4.0,1.0,5.0,5.0,0
NEG-019,5.0,1.0,1.0,5.0,5.0,0
NEG-020,5.0,1.0,1.0,5.0,5.0,0
