ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Context Fingerprint
EN-001,ollama,qwen3-custom:latest,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | probation | week 12,The probation period for new employees is 3 months. A formal performance evaluation is conducted in week 12 of the probation period.,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,0,0,0,0,0.0,0.5161,1.0,5.0,5.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,5974.18,0.0,0,The answer directly matches the context details about the 3-month probation period and week 12 evaluation.,,0.8572,20174,22258.71,95629baec5840f82
EN-002,ollama,qwen3-custom:latest,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",P1 | 4 hours | 15 minutes,"P1 IT incidents must be acknowledged within 15 minutes and resolved within 4 hours. If a P1 incident is not resolved within 2 hours, it is escalated to the Head of Infrastructure.",SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,0,0,0,0,0.0,0.359,1.0,5.0,5.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,5042.22,0.0,0,Answer matches context's 15-minute acknowledgment and 4-hour resolution requirements for P1 incidents.,,0.8868,7077,9161.08,b159d66595047529
EN-003,ollama,qwen3-custom:latest,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations | above IDR 50 million,Purchases above IDR 50 million require Director approval and three vendor quotations.,SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,0,0,0,0,0.0,0.5556,1.0,5.0,5.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,5520.44,0.0,0,Answer matches context's requirement for Director approval and three quotations for purchases over IDR 50 million.,,0.8292,4771,6808.22,e0ec791959012594
EN-004,ollama,qwen3-custom:latest,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense claim deadline,The deadline to submit an expense claim is within 30 days of the expense date. Claims older than 30 days require Finance Manager approval.,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,0,0,0,0,0.0,0.4516,1.0,5.0,5.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,4894.05,0.0,0,Answer matches context's 30-day deadline and approval requirement for older claims.,,0.8425,5937,8007.67,ed024e7a52c26e22
EN-005,ollama,qwen3-custom:latest,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | annual leave | HR portal,Annual leave must be requested at least 5 working days in advance. This requirement is specified in the SOP_Leave_Request.pdf document.,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,0,0,0,0,0.0,0.375,0.6667,5.0,5.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,5305.19,0.0,0,The answer directly cites the 5 working days requirement from the SOP document.,,0.8526,5919,7956.78,b08d979f0542f7ff
EN-006,ollama,qwen3-custom:latest,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",nightly 01:00 WIB | full backup | 6 hours incremental,"Full database backups are taken nightly at 01:00 WIB. Additionally, full backups run every 6 hours.",SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,0,0,0,0,0.0,0.6154,0.6667,3.0,2.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,4657.65,0.0,1,"Answer incorrectly states full backups every 6 hours, while context specifies incremental backups at that interval.",,0.7279,5439,7525.57,35143101c1f89b7d
EN-007,ollama,qwen3-custom:latest,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | offboarding | access revocation,IT must revoke a departing employee's access within 2 hours of the employee's exit time. The exact deadline is specified as 2 hours after the employee's last working day.,SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,0,0,0,0,0.0,0.439,0.3333,5.0,5.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,5111.14,0.0,0,Answer directly matches context's 2-hour deadline for access revocation.,,0.8669,6604,8672.81,4ced6a62b184a52d
EN-008,ollama,qwen3-custom:latest,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | WFH | manager approval,Employees may work from home a maximum of 2 days per week with manager approval. The policy states that the limit is 2 days per week.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,0,0,0,0,0.0,0.4,0.6667,,,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,4698.47,0.0,,,"HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)",0.8774,5790,7851.9,5941b628881a5b2b
EN-009,ollama,qwen3-custom:latest,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour | data breach,A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,0,0,0,0,0.0,0.6364,1.0,5.0,5.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,4720.29,0.0,0,Answer matches context exactly.,,0.9049,5021,7099.9,e4ea2ff93a3a6c48
EN-010,ollama,qwen3-custom:latest,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | annual leave | accruing monthly,Employees are entitled to 12 days of annual leave per year. This entitlement accrues monthly according to the policy.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,0,0,0,0,0.0,0.4,0.6667,5.0,5.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1,5605.65,0.0,0,The answer directly matches the context's 12 days annual leave with monthly accrual.,,0.8907,5426,7472.44,aad3a402e867bc3c
