ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Failure Reason,Rejected Native Answer,Citation Validation,Grounding Validation,Grounding Repaired,Generation Mode,Pipeline Error,Context Count Before Failure,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Question Keyword Coverage,Question+Answer Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,Judge Model,System Confidence,Backend Response Time (ms),Client Response Time (ms),Estimated Sequential E2E (ms),Context Fingerprint
EN-001,ollama,qwen3-custom:eval-20260803,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | performance evaluation | week 12,The probation period for new employees is 3 months. A formal performance evaluation is conducted in week 12 before confirmation.,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How long is the probation period for new employees?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.5517,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6165.96,0.0,0,Answer exactly matches context and expected response with no added information.,,qwen3:8b,0.8572,18518,18549.73,24715.69,95629baec5840f82
EN-002,ollama,qwen3-custom:eval-20260803,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",4 hours | 15 minutes,"P1 IT incidents must be acknowledged within 15 minutes and resolved within 4 hours. If a P1 incident is not resolved within 2 hours, it is escalated to the Head of Infrastructure.",SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How quickly must a P1 IT incident be resolved?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.359,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5428.58,0.0,0,Answer matches context exactly with acknowledgment and resolution times.,,qwen3:8b,0.8868,5872,5898.19,11326.77,b159d66595047529
EN-003,ollama,qwen3-custom:eval-20260803,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations,Purchases above IDR 50 million require Director approval and three vendor quotations.,SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,What approval is needed for a purchase above IDR 50 million?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.5556,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5735.51,0.0,0,Answer matches context's exact requirement for IDR 50 million+ purchases.,,qwen3:8b,0.8292,2971,2978.83,8714.34,e0ec791959012594
EN-004,ollama,qwen3-custom:eval-20260803,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense date,The deadline to submit an expense claim is within 30 days of the expense date. Claims older than 30 days require Finance Manager approval.,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,What is the deadline to submit an expense claim?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5067.48,0.0,0,Answer matches context: 30-day deadline with Finance Manager approval for older claims.,,qwen3:8b,0.8632,4326,4354.23,9421.71,ed024e7a52c26e22
EN-005,ollama,qwen3-custom:eval-20260803,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | HR portal,Annual leave must be requested at least 5 working days in advance.,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How much advance notice is required for annual leave?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.4762,0.5,0.0,0.5,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5834.69,0.0,0,"Answer correctly states the 5-day notice period from context, omitting method which is not question focus.",,qwen3:8b,0.8526,2665,2688.71,8523.4,b08d979f0542f7ff
EN-006,ollama,qwen3-custom:eval-20260803,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",01:00 WIB | 6 hours,"Full database backups are taken nightly at 01:00 WIB. Additionally, full backups are run every 6 hours.",SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How often are full database backups taken?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.5926,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4897.79,0.0,1,"System answer incorrectly states full backups every 6 hours, while context specifies incremental backups at that interval.",,qwen3:8b,0.7279,3885,3902.86,8800.65,35143101c1f89b7d
EN-007,ollama,qwen3-custom:eval-20260803,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | exit time,IT must revoke a departing employee's access within 2 hours of the employee's exit time. The exact time is determined by the employee's last working day.,SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,When must IT revoke a departing employee's access?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.4737,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,6511.39,0.0,0,Answer directly matches context's 2-hour requirement for access revocation.,,qwen3:8b,0.8669,4386,4411.05,10922.44,4ced6a62b184a52d
EN-008,ollama,qwen3-custom:eval-20260803,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | manager approval,Employees may work from home a maximum of 2 days per week. This limit applies with manager approval.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How many days per week can employees work from home?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.5185,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5389.91,0.0,0,The answer directly reflects the context's statement about the 2-day limit requiring manager approval.,,qwen3:8b,0.9012,3022,3044.85,8434.76,5941b628881a5b2b
EN-009,ollama,qwen3-custom:eval-20260803,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour,A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour. The reporting deadline is explicitly set at 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,Who must a suspected data breach be reported to and how fast?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5143.75,0.0,0,The answer directly matches the context's explicit requirement.,,qwen3:8b,0.9049,4106,4112.11,9255.86,e4ea2ff93a3a6c48
EN-010,ollama,qwen3-custom:eval-20260803,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | per year | accruing monthly,Employees are entitled to 12 days of annual leave per year.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,,,,{},{},0,native_model,,1,evaluation_snapshot,How many annual leave days do employees get?,rag-bilingual-eval-v19-20260802,0,,0,0,0,0,0.0,0.4706,0.6667,0.0,0.6667,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,5827.81,0.0,0,"Answer directly matches context, providing exact 12 days annual leave without adding or omitting information.",,qwen3:8b,0.8928,2536,2541.86,8369.67,aad3a402e867bc3c
