id,split,category,language,difficulty,question_type,question,used_query,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,top_answerability_score,top_answerability_reason,top_answerability_score_margin,top_answerability_supporting_candidates,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
FAQ-001,development,faq,en,hard,factual,"If an employee has a spouse and four children, will the entire family receive full medical coverage under the corporate policy?",health insurance coverage limit for employee dependents family,True,faq_benefits.txt,faq_benefits.txt#p1,1,1,1.0,1.0,,,1244.36,3,0.810281,0.687906,1.0,0.943333,True,,,0.782727,"Retrieval contains explicit, sufficiently supported evidence.",0.449162,1,1:FAQ_Benefits.txt#p1[0.810281] | 2:Policy_Leave.docx#p1[0.361119] | 3:Policy_Procurement_Threshold.docx#p1[0.308619],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-002,development,faq,en,medium,factual,What is the maximum storage limit allowed for an employee's corporate electronic mail?,employee corporate email mailbox quota maximum capacity,True,faq_email_calendar.txt,faq_email_calendar.txt#p1,1,1,1.0,1.0,,,1185.419,2,0.777536,0.642287,1.0,0.915,True,,,0.743631,"Retrieval contains explicit, sufficiently supported evidence.",0.361481,1,1:FAQ_Email_Calendar.txt#p1[0.777536] | 2:Policy_BYOD.docx#p1[0.416055],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-003,development,faq,en,easy,factual,What is the financial penalty for losing your building entry badge?,replacement fee lost access card IDR,True,faq_facilities.txt,faq_facilities.txt#p1,1,1,1.0,1.0,,,1099.548,3,0.869167,0.78,1.0,0.971667,True,,,0.889792,"Retrieval contains explicit, sufficiently supported evidence.",0.338871,2,1:FAQ_Facilities.txt#p1[0.869167] | 2:SOP_Offboarding.pdf#p1[0.530296] | 3:SOP_Expense_Reimbursement.pdf#p1[0.326816],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-004,development,faq,en,medium,procedural,"If today is the 26th of the month, which portal should staff access to view their latest compensation details?",where to find payslips after the 25th HR portal My Documents,True,faq_hr.txt,faq_hr.txt#p1,1,1,1.0,1.0,,,1193.648,1,0.92125,0.86,1.0,1.0,True,,,0.904438,"Retrieval contains explicit, sufficiently supported evidence.",0.92125,1,1:FAQ_HR.txt#p1[0.92125],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-005,development,faq,en,hard,procedural,"If I forget the credentials to log into the internal system, what is the procedure and the maximum time limit for recovery?",password reset procedure IT helpdesk SLA 1x24 hours,True,faq_it_support.txt,faq_it_support.txt#p1,1,1,1.0,1.0,,,1118.537,1,0.870178,0.78,1.0,0.975714,True,,,0.841634,"Retrieval contains explicit, sufficiently supported evidence.",0.870178,1,1:FAQ_IT_Support.txt#p1[0.870178],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-006,development,faq,id,medium,multi_fact,Dokumen fisik atau identifikasi spesifik apa yang wajib dibawa oleh karyawan baru pada hari orientasi pertama?,syarat dokumen onboarding karyawan baru hari pertama NPWP rekening,True,faq_onboarding.txt,faq_onboarding.txt#p1,1,1,1.0,1.0,,,1189.345,5,0.740036,0.678925,0.923371,0.55,True,,,0.672298,"Retrieval contains explicit, sufficiently supported evidence.",0.127935,2,1:FAQ_Onboarding.txt#p1[0.740036] | 2:SOP_Procurement.pdf#p1[0.612101] | 3:SOP_Onboarding.pdf#p1[0.578985] | 4:SOP_Offboarding.pdf#p1[0.454964] | 5:SOP_Expense_Reimbursement.pdf#p1[0.341982],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-007,development,faq,id,medium,conditional,"Jika tanggal 25 Desember adalah Hari Raya Natal, pada hari apa karyawan akan menerima upah bulanan mereka?",jadwal pembayaran gaji payroll jika tanggal 25 jatuh pada hari libur,True,faq_payroll.txt,faq_payroll.txt#p1,1,1,1.0,1.0,,,1263.824,3,0.8207,0.748405,1.0,0.848889,True,,,0.738037,"Retrieval contains explicit, sufficiently supported evidence.",0.425707,1,1:FAQ_Payroll.txt#p1[0.8207] | 2:SOP_Expense_Reimbursement.pdf#p1[0.394993] | 3:FAQ_HR.txt#p1[0.330448],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-001,development,policy,en,hard,procedural,"If an employee experiences inappropriate workplace behavior but fears retaliation from their direct manager, what are the approved secure avenues to escalate the issue?",report harassment confidentially HR whistleblower channel,True,policy_anti_harassment.docx,policy_anti_harassment.docx#p1,1,1,1.0,1.0,,,1078.124,3,0.87625,0.78,1.0,1.0,True,,,0.896687,"Retrieval contains explicit, sufficiently supported evidence.",0.568933,3,1:Policy_Anti_Harassment.docx#p1[0.87625] | 2:FAQ_Security_Awareness.txt#p1[0.307317] | 3:Report_Security_Review_2025.pdf#p1[0.305037],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-002,development,policy,en,medium,requirement,Can I check my corporate inbox on my own private iPad without any prior IT setup?,BYOD policy personal device work email MDM enrollment,True,policy_byod.docx,policy_byod.docx#p1,1,1,1.0,1.0,,,787.287,5,0.92125,0.86,1.0,1.0,True,,,0.944437,"Retrieval contains explicit, sufficiently supported evidence.",0.586529,3,1:Policy_BYOD.docx#p1[0.92125] | 2:Policy_Data_Security.docx#p1[0.334721] | 3:FAQ_Security_Awareness.txt#p1[0.332751] | 4:Policy_WFH.docx#p1[0.330159] | 5:Policy_Information_Classification.docx#p1[0.321443],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-003,development,policy,en,medium,procedural,"If my spouse's consulting firm is bidding on a contract with our company, how and to whom should I report this situation?",conflict of interest disclosure procedure HR in writing,True,policy_code_of_conduct.docx,policy_code_of_conduct.docx#p1,1,1,1.0,1.0,,,971.383,1,0.786606,0.673967,1.0,0.88,True,,,0.758106,"Retrieval contains explicit, sufficiently supported evidence.",0.786606,1,1:Policy_Code_of_Conduct.docx#p1[0.786606],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
