id,split,category,language,difficulty,question_type,question,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,top_base_score,top_reranker_score,top_evidence_score,top_evidence_supported,top_evidence_missing_concepts,top_evidence_hard_failures,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
FAQ-001,development,faq,en,easy,factual,How many dependents are covered by the company health insurance plan?,True,faq_benefits.txt,faq_benefits.txt#p1,1,1,1.0,1.0,,,125029.33,1,0.882788,0.78,0.962051,1.0,True,,,1:FAQ_Benefits.txt#p1[0.882788],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-002,development,faq,en,easy,factual,What is the standard employee mailbox quota?,True,faq_email_calendar.txt,faq_email_calendar.txt#p1,1,1,1.0,1.0,,,349.109,1,0.800798,0.78,0.649705,1.0,True,,,1:FAQ_Email_Calendar.txt#p1[0.800798],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-003,development,faq,en,easy,factual,How much does a replacement employee access card cost?,True,faq_facilities.txt,faq_facilities.txt#p1,1,1,1.0,1.0,,,316.013,2,0.798285,0.678609,0.893193,0.932,True,,,1:FAQ_Facilities.txt#p1[0.798285] | 2:SOP_Offboarding.pdf#p1[0.456709],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-004,development,faq,en,medium,procedural,Where and when can employees find their payslips?,True,faq_hr.txt,faq_hr.txt#p1,1,1,1.0,1.0,,,336.452,1,0.711464,0.653641,0.779425,0.752857,True,,,1:FAQ_HR.txt#p1[0.711464],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-005,development,faq,id,medium,procedural,Bagaimana cara mereset kata sandi dan berapa lama prosesnya?,True,faq_it_support.txt,faq_it_support.txt#p1,1,1,1.0,1.0,,,474.194,1,0.568708,0.710097,0.05728,0.83,True,,,1:FAQ_IT_Support.txt#p1[0.568708],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-006,development,faq,en,medium,multi_fact,What documents or details should a new employee bring on the first day?,True,faq_onboarding.txt,faq_onboarding.txt#p1,1,1,1.0,1.0,,,411.913,3,0.547746,0.548261,0.279338,0.828571,True,,,1:FAQ_Onboarding.txt#p1[0.547746] | 2:SOP_Onboarding.pdf#p1[0.373054] | 3:SOP_Customer_Complaint.pdf#p1[0.315615],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-007,development,faq,en,medium,conditional,When is salary paid if the 25th falls on a holiday?,True,faq_payroll.txt,faq_payroll.txt#p1,1,1,1.0,1.0,,,244.546,1,0.822689,0.727793,0.9999,0.821667,True,,,1:FAQ_Payroll.txt#p1[0.822689],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-001,development,policy,en,easy,procedural,Through which channels can an employee confidentially report harassment?,True,policy_anti_harassment.docx,policy_anti_harassment.docx#p1,1,1,1.0,1.0,,,301.624,2,0.833432,0.71196,0.995627,0.9,True,,,1:Policy_Anti_Harassment.docx#p1[0.833432] | 2:FAQ_Security_Awareness.txt#p1[0.323941],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-002,development,policy,en,easy,requirement,What must happen before a personal device is used for work email?,True,policy_byod.docx,policy_byod.docx#p1,1,1,1.0,1.0,,,335.982,2,0.851887,0.78,0.987189,0.85,True,,,1:Policy_BYOD.docx#p1[0.851887] | 2:FAQ_Security_Awareness.txt#p1[0.309425],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-003,development,policy,en,medium,procedural,How must a potential conflict of interest be disclosed?,True,policy_code_of_conduct.docx,policy_code_of_conduct.docx#p1,1,1,1.0,1.0,,,200.675,1,0.921017,0.86,0.959112,1.0,True,,,1:Policy_Code_of_Conduct.docx#p1[0.921017],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-004,development,policy,en,medium,requirement,"How quickly must a suspected data breach be reported, and to which address?",True,policy_data_security.docx,policy_data_security.docx#p1,1,1,1.0,1.0,,,469.685,1,0.700494,0.589968,0.681226,0.93625,True,,,1:Policy_Data_Security.docx#p1[0.700494],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-005,development,policy,en,medium,list,What are the four information-classification levels?,True,policy_information_classification.docx,policy_information_classification.docx#p1,1,1,1.0,1.0,,,208.414,1,0.864151,0.78,0.931525,0.9575,True,,,1:Policy_Information_Classification.docx#p1[0.864151],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-006,development,policy,id,easy,factual,Berapa maksimum sisa cuti tahunan yang boleh dibawa ke tahun berikutnya?,True,policy_leave.docx,policy_leave.docx#p1,1,1,1.0,1.0,,,327.48,1,0.808597,0.696222,0.996909,0.83,True,,,1:Policy_Leave.docx#p1[0.808597],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-007,development,policy,en,hard,multi_fact,"What are the password length, complexity, and rotation requirements?",True,policy_password.docx,policy_password.docx#p1,1,1,1.0,1.0,,,319.425,2,0.662751,0.723247,0.28318,0.943333,True,,,1:Policy_Password.docx#p1[0.662751] | 2:FAQ_IT_Support.txt#p1[0.404064],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-001,development,report,en,medium,multi_fact,What were the overall CSAT score and Net Promoter Score in 2025?,True,report_csat_2025.pdf,report_csat_2025.pdf#p1,1,1,1.0,1.0,,,400.57,3,0.904921,0.848935,0.999975,0.914286,True,,,1:Report_CSAT_2025.pdf#p1[0.904921] | 2:Report_Vendor_Evaluation.pdf#p1[0.376839] | 3:Report_Financial_FY2025.pdf#p1[0.314447],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-002,development,report,id,medium,multi_fact,Berapa pendapatan tahun 2025 dan margin laba bersih perusahaan?,True,report_financial_fy2025.pdf,report_financial_fy2025.pdf#p1,1,1,1.0,1.0,,,420.938,2,0.84054,0.768459,0.930474,0.886667,True,,,1:Report_Financial_FY2025.pdf#p1[0.84054] | 2:Report_Q3_2025_Performance.pdf#p1[0.528644],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-003,development,report,en,medium,multi_fact,"How many employees were hired in the first half of 2025, and what was the resulting headcount?",True,report_hiring_h1_2025.pdf,report_hiring_h1_2025.pdf#p1,1,1,1.0,1.0,,,312.244,2,0.796859,0.762017,0.994629,0.657143,True,,,1:Report_Hiring_H1_2025.pdf#p1[0.796859] | 2:Report_Security_Review_2025.pdf#p1[0.342819],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-004,development,report,en,hard,multi_fact,"How many IT audit findings were raised in 2025, and how were they distributed by severity?",True,report_it_audit_2025.pdf,report_it_audit_2025.pdf#p1,1,1,1.0,1.0,,,364.081,1,0.803511,0.751778,0.998167,0.7,True,,,1:Report_IT_Audit_2025.pdf#p1[0.803511],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-005,development,report,id,medium,causal,Apa penyebab utama gangguan portal pelanggan pada 14 Oktober 2025?,True,report_incident_postmortem.pdf,report_incident_postmortem.pdf#p1,1,1,1.0,1.0,,,414.438,1,0.745817,0.699082,0.998694,0.571429,True,,,1:Report_Incident_Postmortem.pdf#p1[0.745817],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-006,development,report,en,medium,factual,"What was the peak network utilization, and in which month did it occur?",True,report_network_capacity.pdf,report_network_capacity.pdf#p1,1,1,1.0,1.0,,,328.507,1,0.720404,0.709482,0.800935,0.657143,True,,,1:Report_Network_Capacity.pdf#p1[0.720404],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
REP-007,development,report,en,hard,comparison,How did customer churn change from Q2 to Q3 2025?,True,report_q3_2025_performance.pdf,report_q3_2025_performance.pdf#p1,1,1,1.0,1.0,,,435.46,3,0.849852,0.795097,0.999018,0.8,True,,,1:Report_Q3_2025_Performance.pdf#p1[0.849852] | 2:Report_CSAT_2025.pdf#p1[0.412724] | 3:Report_Incident_Postmortem.pdf#p1[0.306508],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-001,development,sop,en,hard,multi_fact,"How often are internal-system access rights reviewed, and when are dormant accounts disabled?",True,sop_access_provisioning.pdf,sop_access_provisioning.pdf#p1,1,1,1.0,1.0,,,381.587,2,0.885008,0.78,0.999945,0.969091,True,,,1:SOP_Access_Provisioning.pdf#p1[0.885008] | 2:SOP_Offboarding.pdf#p1[0.373202],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-002,development,sop,en,easy,service_level,Within how long must a customer complaint receive its first response?,True,sop_customer_complaint.pdf,sop_customer_complaint.pdf#p1,1,1,1.0,1.0,,,420.453,8,0.893117,0.791969,0.999405,0.97875,True,,,1:SOP_Customer_Complaint.pdf#p1[0.893117] | 2:SOP_IT_Incident_Handling.pdf#p1[0.439288] | 3:SOP_Expense_Reimbursement.pdf#p1[0.403457] | 4:TECH_Data_Retention.txt#p1[0.396435] | 5:SOP_Offboarding.pdf#p1[0.387968] | 6:Report_Hiring_H1_2025.pdf#p1[0.384035] | 7:Report_Incident_Postmortem.pdf#p1[0.379345] | 8:FAQ_Onboarding.txt#p1[0.374401],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-003,development,sop,en,medium,multi_fact,"How often are production databases backed up, and when does the nightly full backup run?",True,sop_data_backup.pdf,sop_data_backup.pdf#p1,1,1,1.0,1.0,,,232.796,1,0.864625,0.83421,0.999974,0.781818,True,,,1:SOP_Data_Backup.pdf#p1[0.864625],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-004,development,sop,id,medium,requirement,Untuk pengeluaran sebesar berapa bukti pembayaran asli wajib disertakan?,True,sop_expense_reimbursement.pdf,sop_expense_reimbursement.pdf#p1,1,1,1.0,1.0,,,348.862,1,0.820621,0.732092,0.976097,0.83,True,,,1:SOP_Expense_Reimbursement.pdf#p1[0.820621],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-005,development,sop,en,hard,service_level,What are the acknowledgement and resolution targets for a P1 incident?,True,sop_it_incident_handling.pdf,sop_it_incident_handling.pdf#p1,1,1,1.0,1.0,,,426.693,2,0.885941,0.766231,0.999633,1.0,True,,,1:SOP_IT_Incident_Handling.pdf#p1[0.885941] | 2:SOP_Customer_Complaint.pdf#p1[0.41298],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-006,development,sop,en,medium,approval,What additional approval is required for leave longer than five consecutive days?,True,sop_leave_request.pdf,sop_leave_request.pdf#p1,1,1,1.0,1.0,,,372.102,3,0.83878,0.787599,0.970762,0.8,True,,,1:SOP_Leave_Request.pdf#p1[0.83878] | 2:Policy_Leave.docx#p1[0.474202] | 3:SOP_Expense_Reimbursement.pdf#p1[0.351417],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
SOP-007,development,sop,id,easy,service_level,Berapa lama batas waktu IT untuk mencabut seluruh akses sistem karyawan yang keluar?,True,sop_offboarding.pdf,sop_offboarding.pdf#p1,1,1,1.0,1.0,,,745.176,2,0.829441,0.739057,0.996764,0.83,True,,,1:SOP_Offboarding.pdf#p1[0.829441] | 2:TECH_Data_Retention.txt#p1[0.358236],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
TECH-001,development,technical,en,easy,requirement,What minimum unit-test coverage is required before code can be merged?,True,tech_cicd_pipeline.txt,tech_cicd_pipeline.txt#p1,1,1,1.0,1.0,,,303.472,1,0.79225,0.649338,0.986783,0.866667,True,,,1:TECH_CICD_Pipeline.txt#p1[0.79225],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
