question,expected_answer,source_document,answerable,expected_answer_keywords
How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",SOP_Onboarding.pdf,TRUE,3 months | probation | week 12
How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",SOP_IT_Incident_Handling.pdf,TRUE,P1 | 4 hours | 15 minutes
What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,SOP_Procurement.pdf,TRUE,Director approval | 3 vendor quotations | above IDR 50 million
What is the deadline to submit an expense claim?,Within 30 days of the expense date.,SOP_Expense_Reimbursement.pdf,TRUE,30 days | expense claim deadline
How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,SOP_Leave_Request.pdf,TRUE,5 working days | annual leave | HR portal
How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",SOP_Data_Backup.pdf,TRUE,nightly 01:00 WIB | full backup | 6 hours incremental
When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,SOP_Offboarding.pdf,TRUE,2 hours | offboarding | access revocation
How many days per week can employees work from home?,Up to 2 days per week with manager approval.,Policy_WFH.docx,TRUE,2 days per week | WFH | manager approval
Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,Policy_Data_Security.docx,TRUE,security@nusantaradynamics.co.id | 1 hour | data breach
How many annual leave days do employees get?,"12 days per year, accruing monthly.",Policy_Leave.docx,TRUE,12 days | annual leave | accruing monthly
What are the password requirements?,"At least 12 characters with upper, lower, number, and symbol; changed every 90 days.",Policy_Password.docx,TRUE,12 characters | upper lower number symbol | 90 days
What is the domestic meal per diem?,"IDR 250,000 per day.",Policy_Travel_Expense.docx,TRUE,"IDR 250,000 | per day | meal per diem"
What was Q3 2025 revenue?,"IDR 42.5 billion, up 12% over Q2 2025.",Report_Q3_2025_Performance.pdf,TRUE,IDR 42.5 billion | 12% | Q3 2025
What was the root cause of the October 2025 outage?,An expired TLS certificate on the API gateway.,Report_Incident_Postmortem.pdf,TRUE,expired TLS certificate | API gateway
What was the 2025 overall CSAT score?,"87%, up from 83% in 2024.",Report_CSAT_2025.pdf,TRUE,87% | 83% | CSAT 2025
How many security incidents occurred in 2025?,"3 reportable incidents, none resulting in data loss.",Report_Security_Review_2025.pdf,TRUE,3 incidents | no data loss | 2025
What was full-year 2025 revenue?,"IDR 158 billion, with a 14% net profit margin.",Report_Financial_FY2025.pdf,TRUE,IDR 158 billion | 14% | net profit margin
What database does the platform use?,"PostgreSQL 15, with Redis for caching.",TECH_System_Architecture.txt,TRUE,PostgreSQL 15 | Redis | caching
How long are internal API tokens valid?,60 minutes.,TECH_Internal_API_Guide.txt,TRUE,60 minutes | API token
What are the RTO and RPO?,RTO is 4 hours and RPO is 1 hour.,TECH_Disaster_Recovery.txt,TRUE,RTO 4 hours | RPO 1 hour
What is the API availability SLO?,99.9% per month.,TECH_Monitoring_Guide.txt,TRUE,99.9% | monthly | API availability SLO
How long are audit logs retained?,7 years.,TECH_Data_Retention.txt,TRUE,7 years | audit logs
What unit-test coverage is required to merge code?,At least 80%.,TECH_CICD_Pipeline.txt,TRUE,80% | unit-test coverage | merge
