ID,Model,Model Name,Language,Answerable,Question,Expected Answer,Expected Keywords,Generated Answer,Expected Source,Retrieved Sources,Citations,Pipeline Failed,Failure Category,Failure Stage,Failure Reason,Rejected Native Answer,Citation Validation,Generation Mode,Pipeline Error,Context Count Before Failure,Retrieval Mode,Retrieval Query,Backend Build Version,Generation Failed,Generation Error,Abstained,False Refusal,Correct Unanswerable Refusal,No Citation On Unanswerable,Normalized Exact Match,Token F1,Keyword Coverage,Question Keyword Coverage,Question+Answer Keyword Coverage,Faithfulness,Answer Relevance,Context Precision,Context Recall,Citation Accuracy,Citation Precision,Citation Recall,Citation F1,Retrieval Top K,Precision@K,Recall@K,Hit@K,MRR,Top-1 Accuracy,NDCG@K,First Relevant Rank,Retrieval Debug Available,Retrieval Time (ms),Retrieval No Result,Hallucination,Judge Reason,Judge Error,System Confidence,Backend Response Time (ms),Client Response Time (ms),Estimated Sequential E2E (ms),Context Fingerprint
EN-001,ollama,qwen3-custom:latest,EN,True,How long is the probation period for new employees?,"3 months, with a performance evaluation in week 12.",3 months | performance evaluation | week 12,,SOP_Onboarding.pdf,SOP_Onboarding.pdf,SOP_Onboarding.pdf,1,pipeline_contract,,,,{},native_model,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,1,evaluation_snapshot,How long is the probation period for new employees?,rag-bilingual-eval-v18-20260802,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,9891.83,0.0,,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,PIPELINE_FAILED,0.8572,17261,17284.59,27176.42,95629baec5840f82
EN-002,ollama,qwen3-custom:latest,EN,True,How quickly must a P1 IT incident be resolved?,"Within 4 hours, acknowledged within 15 minutes.",4 hours | 15 minutes,,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,SOP_IT_Incident_Handling.pdf,1,pipeline_contract,,,,{},native_model,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,1,evaluation_snapshot,How quickly must a P1 IT incident be resolved?,rag-bilingual-eval-v18-20260802,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,7923.69,0.0,,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,PIPELINE_FAILED,0.8868,5047,5076.43,13000.12,b159d66595047529
EN-003,ollama,qwen3-custom:latest,EN,True,What approval is needed for a purchase above IDR 50 million?,Director approval plus three vendor quotations.,Director approval | 3 vendor quotations,,SOP_Procurement.pdf,SOP_Procurement.pdf,SOP_Procurement.pdf,1,pipeline_contract,,,,{},native_model,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,1,evaluation_snapshot,What approval is needed for a purchase above IDR 50 million?,rag-bilingual-eval-v18-20260802,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4050.88,0.0,,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,PIPELINE_FAILED,0.8292,3017,3027.37,7078.25,e0ec791959012594
EN-004,ollama,qwen3-custom:latest,EN,True,What is the deadline to submit an expense claim?,Within 30 days of the expense date.,30 days | expense date,,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,SOP_Expense_Reimbursement.pdf,1,pipeline_contract,,,,{},native_model,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,1,evaluation_snapshot,What is the deadline to submit an expense claim?,rag-bilingual-eval-v18-20260802,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4101.37,0.0,,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,PIPELINE_FAILED,0.8632,4166,4188.34,8289.71,ed024e7a52c26e22
EN-005,ollama,qwen3-custom:latest,EN,True,How much advance notice is required for annual leave?,At least 5 working days via the HR portal.,5 working days | HR portal,,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,SOP_Leave_Request.pdf,1,pipeline_contract,,,,{},native_model,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,1,evaluation_snapshot,How much advance notice is required for annual leave?,rag-bilingual-eval-v18-20260802,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,8178.87,0.0,,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,PIPELINE_FAILED,0.8526,2663,2687.21,10866.08,b08d979f0542f7ff
EN-006,ollama,qwen3-custom:latest,EN,True,How often are full database backups taken?,"Nightly at 01:00 WIB, with incremental backups every 6 hours.",01:00 WIB | 6 hours,,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,SOP_Data_Backup.pdf,1,pipeline_contract,,,,{},native_model,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,1,evaluation_snapshot,How often are full database backups taken?,rag-bilingual-eval-v18-20260802,0,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,3648.42,0.0,,Backend build changed after retrieval snapshot capture (rag-bilingual-eval-v17-20260802 != rag-bilingual-eval-v18-20260802). Rebuild the snapshot.,PIPELINE_FAILED,0.7279,3942,3948.96,7597.38,35143101c1f89b7d
EN-007,ollama,qwen3-custom:latest,EN,True,When must IT revoke a departing employee's access?,Within 2 hours of the employee's exit time.,2 hours | exit time,IT must revoke a departing employee's access within 2 hours of the employee's exit time. The exact time is determined by the employee's last working day.,SOP_Offboarding.pdf,SOP_Offboarding.pdf,SOP_Offboarding.pdf,0,,,,,{},native_model,,1,evaluation_snapshot,When must IT revoke a departing employee's access?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.4737,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,4295.3,0.0,,,SKIPPED,0.8669,4363,4382.91,8678.21,4ced6a62b184a52d
EN-008,ollama,qwen3-custom:latest,EN,True,How many days per week can employees work from home?,Up to 2 days per week with manager approval.,2 days per week | manager approval,Employees may work from home a maximum of 2 days per week. This limit applies with manager approval.,Policy_WFH.docx,Policy_WFH.docx,Policy_WFH.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many days per week can employees work from home?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.5185,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,3713.17,0.0,,,SKIPPED,0.9012,3263,3285.67,6998.84,5941b628881a5b2b
EN-009,ollama,qwen3-custom:latest,EN,True,Who must a suspected data breach be reported to and how fast?,security@nusantaradynamics.co.id within 1 hour.,security@nusantaradynamics.co.id | 1 hour,A suspected data breach must be reported to security@nusantaradynamics.co.id within 1 hour. The reporting deadline is explicitly set at 1 hour.,Policy_Data_Security.docx,Policy_Data_Security.docx,Policy_Data_Security.docx,0,,,,,{},native_model,,1,evaluation_snapshot,Who must a suspected data breach be reported to and how fast?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.4516,1.0,0.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,7114.49,0.0,,,SKIPPED,0.9049,4094,4100.43,11214.92,e4ea2ff93a3a6c48
EN-010,ollama,qwen3-custom:latest,EN,True,How many annual leave days do employees get?,"12 days per year, accruing monthly.",12 days | per year | accruing monthly,Employees are entitled to 12 days of annual leave per year.,Policy_Leave.docx,Policy_Leave.docx,Policy_Leave.docx,0,,,,,{},native_model,,1,evaluation_snapshot,How many annual leave days do employees get?,rag-bilingual-eval-v18-20260802,0,,0,0,0,0,0.0,0.4706,0.6667,0.0,0.6667,,,1.0,1.0,1.0,1.0,1.0,1.0,5,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1,8020.15,0.0,,,SKIPPED,0.8928,2535,2552.2,10572.35,aad3a402e867bc3c
